"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,0.5,0.5,0.2,0.5,1,50,1,0,1,0,35115.82,1637,7286.02820525388,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,33045.1536950137,37186.4863049863,1637,1637,NA,NA
10,0.5,0.5,0.2,0.5,1.5,50,1,0,1,0,106480.68,2563,28117.8817375298,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,98489.6664269932,114471.693573007,2563,2563,NA,NA
10,0.5,0.5,0.2,1,0.5,50,1,0.02,0.98,0,18319.18,6282,5175.2996154615,0,50,0.448398531016766,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,16848.3761230376,19789.9838769624,6282,6282,NA,NA
10,0.5,0.5,0.2,1,1,50,1,0.02,0.98,0,40777.28,6282,12880.4468566165,0,50,0.896509953734521,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,37116.6975059697,44437.8624940303,6282,6282,NA,NA
10,0.5,0.5,0.2,1,1.5,50,1,0.02,0.98,0,111044.68,9835,30681.8478958435,0,50,0.448259050724568,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,102324.995307203,119764.364692797,9835,9835,NA,NA
10,0.5,0.5,0.2,3,0.5,50,1,1,0,0,19583.84,37741,5243.59606454991,0,50,0.699321984178014,0.315806595153722,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,18093.6264869651,21074.0535130349,37741,37741,0.609570742890513,0.789073225465515
10,0.5,0.5,0.2,3,1,50,1,0.3,0.06,0.64,34355.26,37741,9946.48246881524,0,50,0.597716863774187,0.469154370949736,15,0.191035535008809,0.437503504644534,0.020614970348974,0.162170916888382,31528.5009591193,37182.0190408807,37741,37741,0.337907832997746,0.857525894550628
10,0.5,0.5,0.2,3,1.5,50,1,0.06,0.52,0.42,75602.88,59088,22739.5380381702,0,50,1.04596703328827,1.03522288591233,3,0.020614970348974,0.162170916888382,0.385117448900446,0.652028647134219,69140.3747941265,82065.3852058735,59088,59088,-1.52566917767356,3.6176032442501
10,0.5,0.5,0.2,5,0.5,50,1,1,0,0,19856.54,86492.4,5807.77794527586,12969.8987707094,50,1.5062162410304,0.359526769513471,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,18205.9877705352,21507.0922294649,82806.3955532665,90178.4044467335,1.40403986366813,1.60839261839267
10,0.5,0.5,0.2,5,1,50,1,1,0,0,32607.62,92508,9247.60892623888,0,50,1.10276050735106,0.407153685579445,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,29979.4786223087,35235.7613776913,92508,92508,0.987048710205885,1.21847230449624
10,0.5,0.5,0.2,5,1.5,50,1,0.86,0.02,0.12,65205.92,127041.84,22317.7348576674,25037.9821474234,50,0.844421651045468,0.439750469431094,43,0.738138062894145,0.930491665729837,0.00353925927164624,0.104954435896378,58863.2899316635,71548.5500683365,119926.124205744,134157.555794256,0.709086432442076,0.979756869648859
10,0.5,0.5,0.2,10,0.5,50,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,6.93889390390723e-18,0.0713475991333587,6.93889390390723e-18,0.0713475991333587,NA,NA,NA,NA,NA,NA
10,0.5,0.5,0.2,10,1,50,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,6.93889390390723e-18,0.0713475991333587,6.93889390390723e-18,0.0713475991333587,NA,NA,NA,NA,NA,NA
