"step","frac_sig","within_mean","seed"
1,0,0.336019532895175,1
2,0,0.442659427441125,1
3,0.028169014084507,0.492553049576476,1
4,0.0563380281690141,0.52003186245969,1
5,0.0422535211267606,0.53748227402816,1
6,0.0985915492957746,0.548523821139395,1
7,0.225352112676056,0.553466295850722,1
8,0.295774647887324,0.557525077048213,1
9,0.464788732394366,0.56045496198378,1
10,0.507042253521127,0.561528920909747,1
11,0.605633802816901,0.561411956902132,1
12,0.690140845070423,0.560921067811203,1
13,0.704225352112676,0.559438994814734,1
14,0.774647887323944,0.559663845306201,1
15,0.845070422535211,0.557785372609657,1
16,0.887323943661972,0.555100811351031,1
17,0.873239436619718,0.553781921534574,1
18,0.887323943661972,0.551878663590435,1
19,0.929577464788732,0.548961618765379,1
20,0.943661971830986,0.546396688741497,1
21,0.929577464788732,0.543731037588182,1
22,0.929577464788732,0.539926278282381,1
23,0.957746478873239,0.537329329184542,1
24,0.985915492957746,0.532640950421546,1
25,0.985915492957746,0.529290505490115,1
26,0.985915492957746,0.528529955599699,1
27,1,0.524484956720148,1
28,1,0.522105568947041,1
29,1,0.519540175095776,1
30,1,0.516097926113031,1
31,1,0.513672729177793,1
32,1,0.511305053381894,1
34,1,0.505056330812705,1
35,1,0.50229073696367,1
37,1,0.494673989341107,1
38,1,0.490468427920839,1
40,1,0.487448044800749,1
42,1,0.484525308318282,1
44,1,0.478830995919229,1
46,1,0.475961082123506,1
48,1,0.470232386026956,1
50,1,0.464823957664051,1
52,1,0.460859807824433,1
54,1,0.456538643251914,1
56,1,0.451415326088492,1
59,1,0.446065991790198,1
61,1,0.441162631084593,1
64,1,0.433940551758981,1
67,1,0.430289385212576,1
70,1,0.426781145367707,1
73,1,0.423443082607973,1
76,1,0.420176459023498,1
79,1,0.417171895032318,1
83,1,0.410507728954619,1
86,1,0.407171271258282,1
90,1,0.403880806925957,1
94,1,0.398731928060413,1
98,1,0.395695412475258,1
103,1,0.393022830019381,1
107,1,0.389469800103781,1
112,1,0.384917491592426,1
117,1,0.382475503222352,1
122,1,0.379955028023154,1
127,1,0.376219690750971,1
132,1,0.37390809735665,1
138,1,0.372337957925671,1
144,1,0.370066456337712,1
151,1,0.367700234142745,1
157,1,0.365772726008753,1
164,1,0.363413216275043,1
171,1,0.360055559540964,1
179,1,0.356975237861134,1
186,1,0.354664252401072,1
195,1,0.350709536199444,1
203,1,0.349372052582503,1
212,1,0.346266014373502,1
221,1,0.345085672345771,1
231,1,0.34280135583358,1
241,1,0.340819814550898,1
251,1,0.339012340022087,1
262,1,0.335927389561874,1
274,1,0.334343062856387,1
286,1,0.331681104040223,1
298,1,0.330699704243783,1
311,1,0.328830639891302,1
325,1,0.327052542258921,1
339,1,0.325842653941399,1
354,1,0.323898174852374,1
369,1,0.322710301047347,1
385,1,0.321570647519459,1
402,1,0.319754267232712,1
420,1,0.318135290004141,1
438,1,0.317091936485351,1
457,1,0.315306125903447,1
477,1,0.314517851674699,1
498,1,0.313424409942021,1
520,1,0.312537573472725,1
542,1,0.311728882071974,1
566,1,0.310830552031615,1
591,1,0.310080281388441,1
617,1,0.308819374677978,1
643,1,0.30770414688385,1
672,1,0.306570773856746,1
701,1,0.304841196557703,1
731,1,0.30357938587633,1
763,1,0.302469997343407,1
797,1,0.300944166725825,1
831,1,0.299992109044463,1
868,1,0.29888177767691,1
906,1,0.297442629003425,1
945,1,0.295811889224154,1
986,1,0.294527152634154,1
1029,1,0.293285923959551,1
1074,1,0.29206838282459,1
1121,1,0.291453956769416,1
1170,1,0.290349361488673,1
1221,1,0.289182119537906,1
1274,1,0.287697475918555,1
1330,1,0.28648819728686,1
1388,1,0.285492451202435,1
1449,1,0.284190177488528,1
1512,1,0.283143327031541,1
1578,1,0.282087017345233,1
1647,1,0.281217218985323,1
1719,1,0.280181033442387,1
1794,1,0.278994270104242,1
1872,1,0.278018822939018,1
1954,1,0.276613059668639,1
2039,1,0.275558492116365,1
2128,1,0.274213287272029,1
2221,1,0.273071945796027,1
2318,1,0.271540715712899,1
2419,1,0.270116337634981,1
2524,1,0.26891325860522,1
2635,1,0.267569966539632,1
2749,1,0.266319715837619,1
2869,1,0.264699645695975,1
2995,1,0.263526041987157,1
3125,1,0.262067757027319,1
3262,1,0.260749146568176,1
3404,1,0.259160522791214,1
3553,1,0.257493054094416,1
3708,1,0.256114646447262,1
3870,1,0.254857004658657,1
4038,1,0.253099685093277,1
4215,1,0.251520707396929,1
4399,1,0.250109508354848,1
4591,1,0.248605540489573,1
4791,1,0.246896376458774,1
5000,1,0.245348698588722,1
1,0,0.339112867970241,2
2,0,0.446407532532825,2
3,0,0.496101185740794,2
4,0,0.520825869924279,2
5,0.0422535211267606,0.53848834185023,2
6,0.112676056338028,0.549121349589954,2
7,0.197183098591549,0.556745409652377,2
8,0.295774647887324,0.560757077987021,2
9,0.380281690140845,0.562883112624223,2
10,0.464788732394366,0.564707426822695,2
11,0.577464788732394,0.56670132442483,2
12,0.661971830985915,0.567925143102581,2
13,0.71830985915493,0.567067150150171,2
14,0.788732394366197,0.564041661427327,2
15,0.816901408450704,0.56148800545245,2
16,0.845070422535211,0.558802661581957,2
17,0.901408450704225,0.557168356971413,2
18,0.915492957746479,0.555180106189926,2
19,0.943661971830986,0.553233200002003,2
20,0.957746478873239,0.552095073465326,2
21,0.985915492957746,0.549679813329288,2
22,0.985915492957746,0.545909131447524,2
23,0.985915492957746,0.542517561750853,2
24,0.985915492957746,0.537739607520158,2
25,0.985915492957746,0.533295421415603,2
26,1,0.530498253923995,2
27,1,0.527484066271819,2
28,1,0.525655616087559,2
29,1,0.523917832156107,2
30,1,0.519175790019116,2
31,1,0.517977408057869,2
32,1,0.515668519083675,2
34,1,0.510213509047398,2
35,1,0.507949398994477,2
37,1,0.501277228574796,2
38,1,0.49934548309464,2
40,1,0.496271678288956,2
42,1,0.490353335756118,2
44,1,0.485004657847113,2
46,1,0.482115821342816,2
48,1,0.477854998617105,2
50,1,0.474518003665233,2
52,1,0.471032483305172,2
54,1,0.467134760672513,2
56,1,0.465054267200062,2
59,1,0.459898138776311,2
61,1,0.457947287160399,2
64,1,0.452735713122053,2
67,1,0.448662642511504,2
70,1,0.444642411937508,2
73,1,0.439595208973322,2
76,1,0.436470897699242,2
79,1,0.432262256395671,2
83,1,0.427059207150238,2
86,1,0.423469540125178,2
90,1,0.418027752950027,2
94,1,0.413614397492005,2
98,1,0.411099459964391,2
103,1,0.406699519582404,2
107,1,0.402702683606258,2
112,1,0.398345313546626,2
117,1,0.396101213123296,2
122,1,0.391823711885019,2
127,1,0.38745180053915,2
132,1,0.386614464622301,2
138,1,0.383950185099694,2
144,1,0.381887239566616,2
151,1,0.378447429742924,2
157,1,0.374235453853319,2
164,1,0.369604081855589,2
171,1,0.36729042987989,2
179,1,0.363382320123608,2
186,1,0.361417837723721,2
195,1,0.358817733953586,2
203,1,0.355760716577577,2
212,1,0.352702509261967,2
221,1,0.350061998225029,2
231,1,0.346659395494934,2
241,1,0.344881353784381,2
251,1,0.342802860984724,2
262,1,0.34112532750979,2
274,1,0.339683577262065,2
286,1,0.338319060802834,2
298,1,0.337195657413775,2
311,1,0.335643520939433,2
325,1,0.33397718856561,2
339,1,0.33241142529237,2
354,1,0.330211296319909,2
369,1,0.328660270193478,2
385,1,0.326488586515763,2
402,1,0.324847716296056,2
420,1,0.32375936328969,2
438,1,0.321431704903451,2
457,1,0.319536878624123,2
477,1,0.319029890628304,2
498,1,0.317907545319644,2
520,1,0.317141154257405,2
542,1,0.316022870924746,2
566,1,0.314088531813555,2
591,1,0.313559021434645,2
617,1,0.312158024067346,2
643,1,0.310828335742854,2
672,1,0.310005288223694,2
701,1,0.308932059167513,2
731,1,0.308325030549168,2
763,1,0.306797887502405,2
797,1,0.305679435122406,2
831,1,0.304742447826136,2
868,1,0.303159705521178,2
906,1,0.302072025336671,2
945,1,0.300994168129496,2
986,1,0.299660575393866,2
1029,1,0.29844398760558,2
1074,1,0.29718366103843,2
1121,1,0.296362715874629,2
1170,1,0.295015635540002,2
1221,1,0.293823785848685,2
1274,1,0.292804321626223,2
1330,1,0.291348568561129,2
1388,1,0.290049710582478,2
1449,1,0.289091768525091,2
1512,1,0.287922777651564,2
1578,1,0.286550446713015,2
