"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow"
10,1.5,0.6,0.4,0.5,50,0.54,0,0.52,681.814814814815,23,989.632489557343,0,27,NA,NA,0
10,1.5,0.6,0.4,1,50,0.42,0.02,0.38,1080.19047619048,57,1012.89943326313,0,21,0.45953232937844,NA,1
10,1.5,0.7,0.2,0.001,50,1,0,1,39.22,1,11.0255547317519,0,50,NA,NA,0
10,1.5,0.7,0.2,0.01,50,1,0,1,39.22,1,11.0255547317519,0,50,NA,NA,0
10,1.5,0.7,0.2,0.1,50,1,0,1,42,4,12.0813568639234,0,50,NA,NA,0
10,1.5,0.7,0.2,0.5,50,1,0,0.96,60.7,23,25.1276333780894,0,50,NA,NA,0
10,1.5,0.7,0.2,1,50,1,0.12,0.6,90.42,57,38.7567452983664,0,50,0.45953232937844,0,6
10,1.5,0.7,0.3,0.001,50,1,0,1,48.1,1,13.858247378661,0,50,NA,NA,0
10,1.5,0.7,0.3,0.01,50,1,0,1,47.68,1,13.9011671804778,0,50,NA,NA,0
10,1.5,0.7,0.3,0.1,50,1,0,1,51,4,17.4811852211083,0,50,NA,NA,0
10,1.5,0.7,0.3,0.5,50,1,0.04,0.94,92.56,23,49.3943564486834,0,50,0.885589380764017,0.6479153900466,2
10,1.5,0.7,0.3,1,50,1,0.08,0.82,163.5,57,125.5114028481,0,50,1.35035174228741,0.633525296517099,4
10,1.5,0.7,0.4,0.001,50,1,0,1,82.44,1,32.2003675983581,0,50,NA,NA,0
10,1.5,0.7,0.4,0.01,50,1,0,1,80.18,1,31.4984223770794,0,50,NA,NA,0
10,1.5,0.7,0.4,0.1,50,1,0,1,95.44,4,39.61403585517,0,50,NA,NA,0
10,1.5,0.7,0.4,0.5,50,1,0,1,204,23,128.490927179108,0,50,NA,NA,0
10,1.5,0.7,0.4,1,50,1,0.02,0.9,385.12,57,303.787159648572,0,50,0.9075570519054,NA,1
30,0.5,0.5,0.2,0.001,50,1,0,1,16,1,2.97609523657138,0,50,NA,NA,0
30,0.5,0.5,0.2,0.01,50,1,0,1,16,1,2.97609523657138,0,50,NA,NA,0
30,0.5,0.5,0.2,0.1,50,1,0,1,16,4,2.97609523657138,0,50,NA,NA,0
30,0.5,0.5,0.2,0.5,50,1,0.84,0,16.16,23,3.1321896885243,0,50,0.439606529678511,0.0788221049935675,42
30,0.5,0.5,0.2,1,50,1,1,0,17.6,88,4.00509879110748,0,50,1.63417216081016,0.223797905011119,50
30,0.5,0.5,0.3,0.001,50,1,0,1,24.48,1,6.43409286694,0,50,NA,NA,0
30,0.5,0.5,0.3,0.01,50,1,0,1,24.48,1,6.43409286694,0,50,NA,NA,0
30,0.5,0.5,0.3,0.1,50,1,0,1,24.74,4,6.63266499213998,0,50,NA,NA,0
30,0.5,0.5,0.3,0.5,50,1,0.1,0.28,25.84,23,6.82540273163273,0,50,0.42744401482694,0,5
30,0.5,0.5,0.3,1,50,1,1,0,28.18,88,7.6470349062328,0,50,1.17849562766935,0.292635169541318,50
30,0.5,0.5,0.4,0.001,50,1,0,1,50.84,1,12.9651967409142,0,50,NA,NA,0
30,0.5,0.5,0.4,0.01,50,1,0,1,50.84,1,12.9651967409142,0,50,NA,NA,0
30,0.5,0.5,0.4,0.1,50,1,0,1,53.92,4,14.3510505908531,0,50,NA,NA,0
30,0.5,0.5,0.4,0.5,50,1,0,1,58.6,23,15.0427960926722,0,50,NA,NA,0
30,0.5,0.5,0.4,1,50,1,0.72,0,61.64,88,18.6599647833078,0,50,0.561613760169571,0.23478685980911,36
30,0.5,0.6,0.2,0.001,50,1,0,1,13.92,1,2.32852760694962,0,50,NA,NA,0
30,0.5,0.6,0.2,0.01,50,1,0,1,13.92,1,2.32852760694962,0,50,NA,NA,0
30,0.5,0.6,0.2,0.1,50,1,0,1,13.92,4,2.32852760694962,0,50,NA,NA,0
30,0.5,0.6,0.2,0.5,50,1,1,0,13.8,23,2.42436610692531,0,50,0.529609139580138,0.206404721467874,50
30,0.5,0.6,0.2,1,50,1,1,0,14.32,88,2.44481959603216,0,50,1.8322533204067,0.192251313064079,50
30,0.5,0.6,0.3,0.001,50,1,0,1,17.16,1,4.03737639603559,0,50,NA,NA,0
30,0.5,0.6,0.3,0.01,50,1,0,1,17.16,1,4.03737639603559,0,50,NA,NA,0
30,0.5,0.6,0.3,0.1,50,1,0,1,17.16,4,4.03737639603559,0,50,NA,NA,0
30,0.5,0.6,0.3,0.5,50,1,0.58,0,18.12,23,4.35487060188746,0,50,0.462673368190111,0.131732076983469,29
30,0.5,0.6,0.3,1,50,1,1,0,18.7,88,5.02341456357636,0,50,1.5841348970557,0.270821039294706,50
30,0.5,0.6,0.4,0.001,50,1,0,1,24.18,1,5.28644782554835,0,50,NA,NA,0
30,0.5,0.6,0.4,0.01,50,1,0,1,24.44,1,5.54079490355538,0,50,NA,NA,0
30,0.5,0.6,0.4,0.1,50,1,0,1,24.96,4,5.98283258283948,0,50,NA,NA,0
30,0.5,0.6,0.4,0.5,50,1,0.08,0.34,26.78,23,7.01976800593459,0,50,0.42744401482694,0,4
30,0.5,0.6,0.4,1,50,1,1,0,29.02,88,7.29128638464141,0,50,1.14347687817519,0.27100835917321,50
30,0.5,0.7,0.2,0.001,50,1,0,1,12.26,1,3.19955354028384,0,50,NA,NA,0
30,0.5,0.7,0.2,0.01,50,1,0,1,12.26,1,3.19955354028384,0,50,NA,NA,0
30,0.5,0.7,0.2,0.1,50,1,0,0.98,12.26,4,3.19955354028384,0,50,NA,NA,0
30,0.5,0.7,0.2,0.5,50,1,1,0,12.26,23,3.19955354028384,0,50,0.668425893608302,0.2970337842838,50
30,0.5,0.7,0.2,1,50,1,1,0,12.5,88,3.17033443159602,0,50,1.98983546720672,0.295298610342745,50
30,0.5,0.7,0.3,0.001,50,1,0,1,13.68,1,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.3,0.01,50,1,0,1,13.68,1,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.3,0.1,50,1,0,1,13.68,4,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.3,0.5,50,1,0.98,0,13.84,23,2.83102346820916,0,50,0.54211915485604,0.215348651297972,49
30,0.5,0.7,0.3,1,50,1,1,0,14.12,88,3.02803229702669,0,50,1.85435397753612,0.230926356682604,50
30,0.5,0.7,0.4,0.001,50,1,0,1,17.24,1,3.62845894088858,0,50,NA,NA,0
30,0.5,0.7,0.4,0.01,50,1,0,1,17.24,1,3.62845894088858,0,50,NA,NA,0
30,0.5,0.7,0.4,0.1,50,1,0,1,17.24,4,3.62845894088858,0,50,NA,NA,0
30,0.5,0.7,0.4,0.5,50,1,0.68,0,17.56,23,3.76969657199329,0,50,0.42744401482694,0,34
30,0.5,0.7,0.4,1,50,1,1,0,19.64,88,3.98855505522632,0,50,1.52136908477637,0.213110498270528,50
30,1,0.5,0.2,0.001,50,1,0,1,17.4,1,4.53557367611073,0,50,NA,NA,0
30,1,0.5,0.2,0.01,50,1,0,1,17.4,1,4.53557367611073,0,50,NA,NA,0
30,1,0.5,0.2,0.1,50,1,0,1,17.24,4,4.47469073153186,0,50,NA,NA,0
30,1,0.5,0.2,0.5,50,1,0.4,0.06,20.22,23,6.05515466021997,0,50,0.504067858391838,0.187139714994268,20
30,1,0.5,0.2,1,50,1,1,0,23.08,57,6.88043662591738,0,50,0.950343804513653,0.316851513789296,50
30,1,0.5,0.3,0.001,50,1,0,1,26.98,1,7.56331101234028,0,50,NA,NA,0
30,1,0.5,0.3,0.01,50,1,0,1,26.98,1,7.56331101234028,0,50,NA,NA,0
30,1,0.5,0.3,0.1,50,1,0,1,27.82,4,8.48213007517834,0,50,NA,NA,0
30,1,0.5,0.3,0.5,50,1,0.04,0.7,35.14,23,11.5793799841065,0,50,0.42744401482694,0,2
30,1,0.5,0.3,1,50,1,0.58,0.02,42.94,57,14.9207566695472,0,50,0.613313933432564,0.245418014782111,29
30,1,0.5,0.4,0.001,50,1,0,1,70.58,1,28.8012825678132,0,50,NA,NA,0
30,1,0.5,0.4,0.01,50,1,0,1,72.24,1,28.4766714404358,0,50,NA,NA,0
30,1,0.5,0.4,0.1,50,1,0,1,80.2,4,37.7786247737516,0,50,NA,NA,0
30,1,0.5,0.4,0.5,50,1,0,0.98,112.48,23,60.0718073709817,0,50,NA,NA,0
30,1,0.5,0.4,1,50,1,0.04,0.84,158.92,57,87.1435222457054,0,50,0.68354469064192,0.316801319438035,2
30,1,0.6,0.2,0.001,50,1,0,1,13.96,1,2.94133108837284,0,50,NA,NA,0
30,1,0.6,0.2,0.01,50,1,0,1,13.96,1,2.94133108837284,0,50,NA,NA,0
30,1,0.6,0.2,0.1,50,1,0,1,14.12,4,3.20484327357256,0,50,NA,NA,0
30,1,0.6,0.2,0.5,50,1,0.86,0,14.92,23,4.19348376918869,0,50,0.553219848085317,0.259373606522442,43
30,1,0.6,0.2,1,50,1,1,0,16.48,57,5.13586826711344,0,50,1.2961696861146,0.352622093053451,50
30,1,0.6,0.3,0.001,50,1,0,1,19.48,1,4.01141229137926,0,50,NA,NA,0
30,1,0.6,0.3,0.01,50,1,0,1,19.9,1,4.59036257515989,0,50,NA,NA,0
30,1,0.6,0.3,0.1,50,1,0,1,20.06,4,4.55537359295904,0,50,NA,NA,0
30,1,0.6,0.3,0.5,50,1,0.2,0.14,23.22,23,6.09546502553751,0,50,0.42744401482694,0,10
30,1,0.6,0.3,1,50,1,1,0,27.5,57,7.72023580056507,0,50,0.77067995022331,0.298798015816102,50
30,1,0.6,0.4,0.001,50,1,0,1,29.86,1,8.02549508931203,0,50,NA,NA,0
30,1,0.6,0.4,0.01,50,1,0,1,29.86,1,8.02549508931203,0,50,NA,NA,0
30,1,0.6,0.4,0.1,50,1,0,1,30.28,4,8.85953884643149,0,50,NA,NA,0
30,1,0.6,0.4,0.5,50,1,0.02,0.72,36.82,23,12.3349346266974,0,50,0.42744401482694,NA,1
30,1,0.6,0.4,1,50,1,0.6,0.04,43.14,57,16.0293226205436,0,50,0.608187879964093,0.242778495926751,30
30,1,0.7,0.2,0.001,50,1,0,1,13.44,1,2.85828548580567,0,50,NA,NA,0
30,1,0.7,0.2,0.01,50,1,0,1,13.44,1,2.85828548580567,0,50,NA,NA,0
30,1,0.7,0.2,0.1,50,1,0,1,13.44,4,2.85828548580567,0,50,NA,NA,0
30,1,0.7,0.2,0.5,50,1,1,0,13.8,23,2.64189171555813,0,50,0.535611231429145,0.244146568497032,50
30,1,0.7,0.2,1,50,1,1,0,13.96,57.62,2.94133108837284,4.38406204335659,50,1.44330511397088,0.288785803260785,50
30,1,0.7,0.3,0.001,50,1,0,1,14.92,1,1.66402511754983,0,50,NA,NA,0
30,1,0.7,0.3,0.01,50,1,0,1,14.92,1,1.66402511754983,0,50,NA,NA,0
30,1,0.7,0.3,0.1,50,1,0,1,15.08,4,2.01868819801779,0,50,NA,NA,0
30,1,0.7,0.3,0.5,50,1,0.88,0,15.72,23,2.96262431927216,0,50,0.450663361361757,0.107634562772379,44
30,1,0.7,0.3,1,50,1,1,0,18.38,57,4.99342424737631,0,50,1.16694711100513,0.268419115636885,50
30,1,0.7,0.4,0.001,50,1,0,1,18.1,1,4.6958514039696,0,50,NA,NA,0
30,1,0.7,0.4,0.01,50,1,0,1,18.1,1,4.6958514039696,0,50,NA,NA,0
30,1,0.7,0.4,0.1,50,1,0,1,18.26,4,4.72427513066334,0,50,NA,NA,0
30,1,0.7,0.4,0.5,50,1,0.4,0.06,20.16,23,6.18213357265953,0,50,0.524341113797246,0.248542423079364,20
30,1,0.7,0.4,1,50,1,1,0,23.16,57,7.44053980925183,0,50,0.959709124700597,0.369736072953478,50
30,1.5,0.5,0.2,0.001,50,1,0,1,22.82,1,6.30092315879675,0,50,NA,NA,0
30,1.5,0.5,0.2,0.01,50,1,0,1,23.08,1,6.57093165823103,0,50,NA,NA,0
30,1.5,0.5,0.2,0.1,50,1,0,1,24.64,4,8.89567654675516,0,50,NA,NA,0
30,1.5,0.5,0.2,0.5,50,1,0.12,0.74,41.2,23,19.3738725807596,0,50,0.665296740766964,0.390150742096382,6
30,1.5,0.5,0.2,1,50,1,0.28,0.34,63.9,57,34.3649382305838,0,50,0.909078485116772,0.559739353858593,14
30,1.5,0.5,0.3,0.001,50,1,0,1,40.82,1,14.1229152335443,0,50,NA,NA,0
30,1.5,0.5,0.3,0.01,50,1,0,1,42.7,1,15.8284811756065,0,50,NA,NA,0
30,1.5,0.5,0.3,0.1,50,1,0,1,50.14,4,22.6679761526507,0,50,NA,NA,0
30,1.5,0.5,0.3,0.5,50,1,0.02,0.96,108.18,23,59.2840584966712,0,50,0.42744401482694,NA,1
30,1.5,0.5,0.3,1,50,1,0.1,0.8,187.54,57,143.708351198118,0,50,0.813835965860004,0.367505945514644,5
30,1.5,0.5,0.4,0.001,50,0.96,0,0.96,251,1,457.314222250238,0,48,NA,NA,0
30,1.5,0.5,0.4,0.01,50,0.94,0,0.94,253.276595744681,1,459.483060298421,0,47,NA,NA,0
30,1.5,0.5,0.4,0.1,50,0.78,0,0.78,263.692307692308,4,233.267313775662,0,39,NA,NA,0
30,1.5,0.5,0.4,0.5,50,0.44,0.02,0.4,695.272727272727,23,867.696193366482,0,22,1.34373474670109,NA,1
30,1.5,0.5,0.4,1,50,0.34,0.02,0.3,1034.29411764706,57,1140.89546873858,0,17,2.2512917986065,NA,1
30,1.5,0.6,0.2,0.001,50,1,0,1,17.6,1,4.00509879110748,0,50,NA,NA,0
30,1.5,0.6,0.2,0.01,50,1,0,1,17.6,1,4.00509879110748,0,50,NA,NA,0
30,1.5,0.6,0.2,0.1,50,1,0,1,18.4,4,4.20398256273205,0,50,NA,NA,0
30,1.5,0.6,0.2,0.5,50,1,0.16,0.32,26.18,23,8.84028349346886,0,50,0.491297217797688,0.18060413128439,8
30,1.5,0.6,0.2,1,50,1,0.66,0.04,39.98,57,17.4805898186578,0,50,0.716894383876961,0.355433169338854,33
30,1.5,0.6,0.3,0.001,50,1,0,1,25.78,1,6.60021644666727,0,50,NA,NA,0
30,1.5,0.6,0.3,0.01,50,1,0,1,25.78,1,6.60021644666727,0,50,NA,NA,0
30,1.5,0.6,0.3,0.1,50,1,0,1,27.5,4,8.25672267838488,0,50,NA,NA,0
30,1.5,0.6,0.3,0.5,50,1,0.06,0.88,47.24,23,18.249473014477,0,50,0.597719222748937,0.294925311390253,3
30,1.5,0.6,0.3,1,50,1,0.16,0.4,68.74,57,29.7669930888395,0,50,0.851686308856901,0.563715369778873,8
