"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,1,0.7,0.3,0.001,50,1,0,1,34.18,1,6.22598242391168,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,32.4105953727526,35.9494046272474,1,1,NA,NA
10,1,0.7,0.3,0.01,50,1,0,1,34.18,1,6.22598242391168,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,32.4105953727526,35.9494046272474,1,1,NA,NA
10,1,0.7,0.3,0.1,50,1,0,1,33.92,4,6.41694186175493,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,32.0963253009903,35.7436746990097,4,4,NA,NA
10,1,0.7,0.3,0.5,50,1,0.02,0.88,38.9,23,10.8010770438009,0,50,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.76195182616797,0.943823998490677,35.8303678681847,41.9696321318153,23,23,NA,NA
10,1,0.7,0.3,1,50,1,0.98,0,44.66,88,13.0001726833115,0,50,0.733683745001935,0.272682417341434,49,0.895045564103622,0.996460740728354,6.93889390390723e-18,0.0713475991333587,40.9653918025014,48.3546081974986,88,88,0.655360209844837,0.812007280159033
10,1,0.7,0.4,0.001,50,1,0,1,46.76,1,13.1297450120569,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,43.0285677541127,50.4914322458873,1,1,NA,NA
10,1,0.7,0.4,0.01,50,1,0,1,46.34,1,13.1313769736646,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,42.6081039557555,50.0718960442445,1,1,NA,NA
10,1,0.7,0.4,0.1,50,1,0,1,47.44,4,12.7490055634603,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,43.816772708167,51.063227291833,4,4,NA,NA
10,1,0.7,0.4,0.5,50,1,0.04,0.92,53.88,23,19.3429204472482,0,50,0.42744401482694,0,2,0.0110388843276198,0.13460090687507,0.811617530816572,0.968450485911407,48.382802832788,59.377197167212,23,23,0.42744401482694,0.42744401482694
10,1,0.7,0.4,1,50,1,0.66,0,60.72,88,22.3935486336615,0,50,0.682921025240807,0.340604710043307,33,0.521538260502326,0.775630507774999,6.93889390390723e-18,0.0713475991333587,54.3558238949227,67.0841761050773,88,88,0.562147846582048,0.803694203899566
10,1.5,0.5,0.2,0.001,50,1,0,1,78.36,1,37.2266965869322,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,67.7802898895003,88.9397101104997,1,1,NA,NA
10,1.5,0.5,0.2,0.01,50,1,0,1,80,1,38.0633199620135,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,69.1825241570679,90.8174758429321,1,1,NA,NA
10,1.5,0.5,0.2,0.1,50,1,0,1,95.64,4,46.9757905517213,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,82.2896280407748,108.990371959225,4,4,NA,NA
10,1.5,0.5,0.2,0.5,50,0.96,0,0.94,261.645833333333,23,265.70488264825,0,48,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.837829083111618,0.979385029651026,184.493177824692,338.798488841974,23,23,NA,NA
10,1.5,0.5,0.2,1,50,0.92,0.04,0.88,516.326086956522,57,421.723134788049,0,46,0.68354469064192,0.316801319438035,2,0.0110388843276198,0.13460090687507,0.76195182616797,0.943823998490677,391.089774795452,641.562399117592,57,57,-2.16280223500579,3.52989161628963
10,1.5,0.5,0.3,0.001,50,0.9,0,0.9,194.488888888889,1,120.28954126346,0,45,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.786397685625204,0.95652423506811,158.349909894437,230.627867883341,1,1,NA,NA
10,1.5,0.5,0.3,0.01,50,0.84,0,0.84,193.02380952381,1,121.32912064645,0,42,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.71485783936965,0.916625793219666,155.214993918315,230.832625129305,1,1,NA,NA
10,1.5,0.5,0.3,0.1,50,0.74,0,0.74,217.756756756757,4,131.87734313988,0,37,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.604468427351512,0.841284725064476,173.786661400409,261.726852113105,4,4,NA,NA
10,1.5,0.5,0.3,0.5,50,0.5,0,0.5,703.76,23,1028.36481367266,0,25,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.366445143168286,0.633554856831714,279.271868046425,1128.24813195358,23,23,NA,NA
10,1.5,0.5,0.3,1,50,0.44,0,0.42,1183.04545454545,57,1436.97368757673,0,22,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.29375003354712,0.557665582314218,545.927013832541,1820.16389525836,57,57,NA,NA
10,1.5,0.5,0.4,0.001,50,0.12,0,0.12,683.333333333333,1,709.533837576945,0,6,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.0561760015093228,0.23804817383203,-61.2767635320815,1427.94343019875,1,1,NA,NA
10,1.5,0.5,0.4,0.01,50,0.12,0,0.12,601.333333333333,1,717.303747840945,0,6,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.0561760015093228,0.23804817383203,-151.430784281917,1354.09745094858,1,1,NA,NA
10,1.5,0.5,0.4,0.1,50,0.1,0,0.1,338.2,4,138.968341718537,0,5,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.0434757649318904,0.213602314374797,165.648013198014,510.751986801986,4,4,NA,NA
10,1.5,0.5,0.4,0.5,50,0.08,0,0.08,337.75,23,160.462612467827,0,4,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.031549514088593,0.188382469183428,82.4181759077963,593.081824092204,23,23,NA,NA
10,1.5,0.5,0.4,1,50,0.06,0,0.06,437,57,356.53751555762,0,3,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.020614970348974,0.162170916888382,-448.688288050454,1322.68828805045,57,57,NA,NA
10,1.5,0.6,0.2,0.001,50,1,0,1,49.4,1,17.4496359824028,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,44.440868324256,54.359131675744,1,1,NA,NA
10,1.5,0.6,0.2,0.01,50,1,0,1,48.98,1,17.5155790713319,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,44.0021275057407,53.9578724942593,1,1,NA,NA
10,1.5,0.6,0.2,0.1,50,1,0,1,53.08,4,21.0333457313158,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,47.1023892826055,59.0576107173945,4,4,NA,NA
10,1.5,0.6,0.2,0.5,50,1,0.02,0.94,94.78,23,57.4681065053141,0,50,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.837829083111618,0.979385029651026,78.447744839896,111.112255160104,23,23,NA,NA
10,1.5,0.6,0.2,1,50,1,0.06,0.88,172.98,57,119.689136465074,0,50,1.05003839018105,0.246784917023828,3,0.020614970348974,0.162170916888382,0.76195182616797,0.943823998490677,138.964723779627,206.995276220373,57,57,0.436990671110983,1.66308610925112
10,1.5,0.6,0.3,0.001,50,1,0,1,80.52,1,32.8081871315247,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,71.1960163827052,89.8439836172948,1,1,NA,NA
10,1.5,0.6,0.3,0.01,50,1,0,1,84.62,1,35.0124700817364,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,74.6695660996322,94.5704339003678,1,1,NA,NA
10,1.5,0.6,0.3,0.1,50,1,0,1,90.38,4,35.5107859440952,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,80.2879462985062,100.472053701494,4,4,NA,NA
10,1.5,0.6,0.3,0.5,50,0.98,0.02,0.94,285.469387755102,23,697.566009482281,0,49,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.837829083111618,0.979385029651026,85.1050356976293,485.833739812575,23,23,NA,NA
10,1.5,0.6,0.3,1,50,0.96,0.04,0.86,412.0625,57,325.183967981072,0,48,1.12127905931887,0.302248561461732,2,0.0110388843276198,0.13460090687507,0.738138062894145,0.930491665729837,317.638918436428,506.486081563572,57,57,-1.59431652350292,3.83687464214066
10,1.5,0.6,0.4,0.001,50,0.94,0,0.94,209.425531914894,1,120.278435068992,0,47,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.837829083111618,0.979385029651026,174.110460385309,244.740603444479,1,1,NA,NA
