"mu","sigma","item_overlap","class_overlap","n_preferred","frac_detected","frac_ob_lt_ow","mean_ob","mean_ow","sd_ob","sd_ow","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","mean_ob_ci_lo","mean_ob_ci_hi","mean_ow_ci_lo","mean_ow_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,1,0.5,0.3,50,1,1,0.032408209894648,0.177827941003892,0.0337364856802415,0,50,2.515574214096,1.57412187099902,50,0.928652400866641,1,0.0228204067488466,0.0419960130404494,0.177827941003892,0.177827941003892,2.06821372819102,2.96293470000098
10,1,0.5,0.4,50,0.98,0.24,0.390962141849192,0.177827941003892,0.276226860445756,0,49,1.41513042173592,1.42839138061579,12,0.142973913969917,0.374126837579429,0.311620523763241,0.470303759935143,0.177827941003892,0.177827941003892,0.507573836848285,2.32268700662356
10,1,0.6,0.2,50,1,1,0.001,0.179014129595138,0,0.00838761996635785,50,5.18657292196909,0.0407043383378786,50,0.928652400866641,1,0.001,0.001,0.176630394375606,0.18139786481467,5.17500487700843,5.19814096692975
10,1,0.6,0.3,50,1,1,0.00263592506792311,0.177827941003892,0.00501893705422378,0,50,4.82391576982253,0.857693629933718,50,0.928652400866641,1,0.00120955893918171,0.00406229119666451,0.177827941003892,0.177827941003892,4.58016193721665,5.06766960242841
10,1,0.6,0.4,50,1,1,0.0278977009492824,0.179014129595138,0.0267154394266907,0.00838761996635785,50,2.67675517060558,1.64290375840103,50,0.928652400866641,1,0.0203052570710303,0.0354901448275345,0.176630394375606,0.18139786481467,2.20984708858589,3.14366325262527
10,1,0.7,0.2,50,1,1,0.001,0.203924090011292,0,0.0297393218425993,50,5.30745863935127,0.144322158499734,50,0.928652400866641,1,0.001,0.001,0.19547226825905,0.212375911763534,5.26644273572729,5.34847454297525
10,1,0.7,0.3,50,1,1,0.001,0.208668844376274,0,0.0299318113721321,50,5.33048449028122,0.145256292254962,50,0.928652400866641,1,0.001,0.001,0.200162317705023,0.217175371047525,5.28920310878139,5.37176587178105
10,1,0.7,0.4,50,1,1,0.00146678640759028,0.208668844376274,0.0017146820074474,0.0299318113721321,50,5.1808164592366,0.536107795586805,50,0.928652400866641,1,0.000979479172898623,0.00195409364228194,0.200162317705023,0.217175371047525,5.02845630952408,5.33317660894912
10,1.5,0.5,0.2,50,0.98,0.12,0.473255518035693,0.133352143216332,0.282692489654697,0,49,1.39114516035057,1.7688052934779,6,0.0561760015093228,0.23804817383203,0.392056754404398,0.554454281666988,0.133352143216332,0.133352143216332,-0.465102154661814,3.24739247536295
10,1.5,0.5,0.3,50,0.4,0.04,0.545832063464929,0.13557593310571,0.345819038512183,0.00994509072065189,20,1.87085038805766,2.23873860858333,2,0.0110388843276198,0.13460090687507,0.383983771426942,0.707680355502916,0.130921487375292,0.140230378836128,-18.2434179715991,21.9851187477144
10,1.5,0.5,0.4,50,0.04,0,0.370084633097121,0.133352143216332,0.271892021415232,0,2,NA,NA,0,6.93889390390723e-18,0.0713475991333587,-2.07276825853914,2.81293752473338,0.133352143216332,0.133352143216332,NA,NA
10,1.5,0.6,0.2,50,1,0.4,0.160009609221178,0.134241659172084,0.0960443906481769,0.00628982764285306,50,1.02177213501611,1.13017488584115,20,0.276083897302565,0.538185622524106,0.132714095410963,0.187305123031393,0.132454109934375,0.136029208409793,0.492834006668464,1.55071026336376
10,1.5,0.6,0.3,50,0.98,0.12,0.398270375637491,0.133352143216332,0.259563636463251,0,49,1.29520411480915,1.78125086680384,6,0.0561760015093228,0.23804817383203,0.323714994310583,0.472825756964399,0.133352143216332,0.133352143216332,-0.574104028410415,3.16451225802871
10,1.5,0.6,0.4,50,0.38,0.02,0.609559559389266,0.135692974678835,0.314632492876003,0.0102034477889118,19,3.45387763949107,NA,1,0.00353925927164624,0.104954435896378,0.457911552077988,0.761207566700544,0.130775070266772,0.140610879090898,NA,NA
10,1.5,0.7,0.2,50,1,0.78,0.0725288153282323,0.136910207039337,0.0514079888952314,0.0121884818888036,50,1.38007503971117,1.21429031691337,39,0.647584504187463,0.872460840297856,0.0579188265368481,0.0871388041196165,0.133446278813272,0.140374135265402,0.986447654804934,1.77370242461741
10,1.5,0.7,0.3,50,1,0.34,0.159380148898056,0.136020691083586,0.0847671871983131,0.0106696521571064,50,0.82960786438756,0.54688623646491,17,0.224369492225001,0.478461739497674,0.135289580847078,0.183470716949034,0.132988409491303,0.139052972675869,0.548424907649833,1.11079082112529
10,1.5,0.7,0.4,50,1,0.1,0.367184045682156,0.135131175127835,0.245382732628611,0.00880392474002438,50,1.38155105579643,1.97740988580461,5,0.0434757649318904,0.213602314374797,0.297447044676155,0.436921046688157,0.132629127400699,0.137633222854971,-1.07372760909937,3.83682972069223
30,0.5,0.5,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
30,0.5,0.5,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
30,0.5,0.5,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
30,0.5,0.6,0.2,50,1,1,0.001,0.1466948825526,0,0.0205882937725713,50,4.97934026359962,0.133236222533159,50,0.928652400866641,1,0.001,0.001,0.140843754202413,0.152546010902787,4.94147494811757,5.01720557908167
30,0.5,0.6,0.3,50,1,1,0.001,0.148473914464103,0,0.0212824751738655,50,4.99085318906459,0.13772858643096,50,0.928652400866641,1,0.001,0.001,0.142425501942524,0.154522326985681,4.95171115788904,5.02999522024014
30,0.5,0.6,0.4,50,1,1,0.001,0.144915850641098,0,0.0197066699496099,50,4.96782733813465,0.127530833385122,50,0.928652400866641,1,0.001,0.001,0.139315277009127,0.150516424273069,4.93158347630785,5.00407119996145
30,0.5,0.7,0.2,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50,0.928652400866641,1,0.001,0.001,0.177827941003892,0.177827941003892,5.1808164592366,5.1808164592366
30,0.5,0.7,0.3,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50,0.928652400866641,1,0.001,0.001,0.177827941003892,0.177827941003892,5.1808164592366,5.1808164592366
30,0.5,0.7,0.4,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50,0.928652400866641,1,0.001,0.001,0.177827941003892,0.177827941003892,5.1808164592366,5.1808164592366
30,1,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
30,1,0.5,0.3,50,1,1,0.00418001030927616,0.1,0.00591582001528016,0,50,3.86834295623,1.08967046497649,50,0.928652400866641,1,0.00249875286325484,0.00586126775529748,0.1,0.1,3.55866203655711,4.17802387590289
30,1,0.5,0.4,50,1,0.72,0.0613902241702213,0.1,0.0413181545622403,0,50,1.40713533460747,1.42967334685315,36,0.583348763040434,0.825258293340888,0.0496477345687461,0.0731327137716965,0.1,0.1,0.923403468565006,1.89086720064993
30,1,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
30,1,0.6,0.3,50,1,1,0.00101556558820078,0.1,0.000110065329699278,0,50,4.59365726052312,0.0814086766757574,50,0.928652400866641,1,0.000984285367601144,0.00104684580880042,0.1,0.1,4.5705211706018,4.61679335044444
30,1,0.6,0.4,50,1,1,0.00330398363002591,0.1,0.00434707168004533,0,50,3.96044635994976,0.958242788458968,50,0.928652400866641,1,0.00206855952794249,0.00453940773210933,0.1,0.1,3.68811677266826,4.23277594723126
30,1,0.7,0.2,50,1,1,0.001,0.112673814422206,0,0.0163530344715179,50,4.71454297790531,0.14112381457429,50,0.928652400866641,1,0.001,0.001,0.108026333447587,0.117321295396825,4.67443603356773,4.75464992224289
30,1,0.7,0.3,50,1,1,0.001,0.115341985879513,0,0.0167913844389564,50,4.73756882883525,0.144906697783592,50,0.928652400866641,1,0.001,0.001,0.110569927222542,0.120114044536484,4.69638680098488,4.77875085668562
30,1,0.7,0.4,50,1,1,0.001,0.114674943015186,0,0.0167236496552296,50,4.73181236610276,0.144322158499734,50,0.928652400866641,1,0.001,0.001,0.109922134370758,0.119427751659615,4.69079646247878,4.77282826972674
30,1.5,0.5,0.2,50,1,0.58,0.0564937090839688,0.0749894209332456,0.0297561094517467,0,50,1.00241851031206,1.0480327999253,29,0.442334417685782,0.70624996645288,0.0480371163459956,0.064950301821942,0.0749894209332456,0.0749894209332456,0.603768153435613,1.40106886718851
30,1.5,0.5,0.3,50,1,0.2,0.177341519592035,0.0749894209332456,0.139525442075614,0,50,1.20885717382187,0.72814134002118,10,0.112437500157761,0.330371059322254,0.137688827692494,0.216994211491576,0.0749894209332456,0.0749894209332456,0.687976237714985,1.72973810992876
30,1.5,0.5,0.4,50,0.28,0,0.435339330135454,0.0749894209332456,0.277540971414909,0,14,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.275091944137889,0.595586716133019,0.0749894209332456,0.0749894209332456,NA,NA
30,1.5,0.6,0.2,50,1,1,0.0260564815226658,0.0754896325145807,0.0155071735608591,0.00353703001190087,50,1.38155105579643,1.02216710193176,50,0.928652400866641,1,0.0216493915590431,0.0304635714862885,0.0744844197074045,0.0764948453217569,1.09105437963624,1.67204773195662
30,1.5,0.6,0.3,50,1,0.68,0.0542514249796016,0.0749894209332456,0.0328700060335118,0,50,0.888865568986672,0.783821251609257,34,0.541897026918559,0.792417837393432,0.0449098726247519,0.0635929773344513,0.0749894209332456,0.0749894209332456,0.615377405197382,1.16235373277596
30,1.5,0.6,0.4,50,1,0.16,0.171132295637304,0.0749894209332456,0.106845905491334,0,50,1.0073809781849,1.36743038267524,8,0.0833742067803341,0.28514216063035,0.140767025274073,0.201497566000535,0.0749894209332456,0.0749894209332456,-0.135819430603723,2.15058138697352
30,1.5,0.7,0.2,50,1,1,0.0107757581439186,0.0779906904212561,0.00769373385778693,0.00820999075858075,50,2.38893203398132,1.09136032223271,50,0.928652400866641,1,0.00858922317451452,0.0129622931133227,0.0756574368640184,0.0803239439784938,2.07877086218998,2.69909320577266
30,1.5,0.7,0.3,50,1,1,0.0255055801363354,0.0769902672585859,0.0135107884133516,0.00685408705740834,50,1.32398642847158,0.85461307924637,50,0.928652400866641,1,0.0216658565539927,0.0293453037186781,0.0750423572695765,0.0789381772475953,1.08110807868424,1.56686477825892
30,1.5,0.7,0.4,50,1,0.7,0.0541534395667283,0.0769902672585859,0.0282168919346386,0.00685408705740834,50,0.855245891683503,0.806526489497013,35,0.562496495355466,0.808964464991191,0.0461342876070412,0.0621725915264154,0.0750423572695765,0.0789381772475953,0.578194349109335,1.13229743425767
60,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,0.5,0.6,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,0.5,0.6,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,0.5,0.6,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
60,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50,0.928652400866641,1,0.001,0.001,0.0749894209332456,0.0749894209332456,4.31734704936384,4.31734704936384
60,1,0.5,0.3,50,1,1,0.00171723106071422,0.0749894209332456,0.00203842706855931,0,50,4.04679330093704,0.599837870280339,50,0.928652400866641,1,0.00113791649767229,0.00229654562375615,0.0749894209332456,0.0749894209332456,3.87632126439611,4.21726533747797
60,1,0.5,0.4,50,1,0.92,0.0304076091424301,0.0749894209332456,0.0209060999029672,0,50,1.45162973253972,1.19669911970472,46,0.811617530816572,0.968450485911407,0.0244661612893272,0.036349056995533,0.0749894209332456,0.0749894209332456,1.09625396072312,1.80700550435632
60,1,0.6,0.2,50,1,1,0.001,0.0914964031173035,0,0.0119680152926022,50,4.50731031953584,0.137728586430959,50,0.928652400866641,1,0.001,0.001,0.0880951308046212,0.0948976754299859,4.46816828836029,4.54645235071139
60,1,0.6,0.3,50,1,1,0.001,0.0909961915359684,0,0.012126960040803,50,4.50155385680336,0.139557731444155,50,0.928652400866641,1,0.001,0.001,0.0875497476256498,0.094442635446287,4.46189198836681,4.54121572523991
60,1,0.6,0.4,50,1,1,0.00147612234627037,0.0909961915359684,0.00162893502290656,0.012126960040803,50,4.32310351209632,0.53765082688346,50,0.928652400866641,1,0.00101318413495346,0.00193906055758728,0.0875497476256498,0.094442635446287,4.17030483774136,4.47590218645128
60,1,0.7,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,1,0.7,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,1,0.7,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
60,1.5,0.5,0.2,50,1,0.96,0.0255072022486244,0.0592349786653086,0.0146543612437507,0.00694560919636301,50,1.15129254649702,0.894550162969196,48,0.86539909312493,0.98896111567238,0.021342478863852,0.0296719256333968,0.0572610583722,0.0612088989584172,0.891542255607079,1.41104283738696
60,1.5,0.5,0.3,50,1,0.34,0.0698270012375039,0.059985190201877,0.0441900232736401,0.00757828092617022,50,1.11743100101182,0.903796461038745,17,0.224369492225001,0.478461739497674,0.0572683355788523,0.0823856668961555,0.0578314665925962,0.0621389138111578,0.652741739774077,1.58212026224956
60,1.5,0.5,0.4,50,0.9,0.04,0.484083261036554,0.0616523269498069,0.297633612188189,0.00859681967551844,45,0.431734704936384,0.203521691689393,2,0.0110388843276198,0.13460090687507,0.394664224718564,0.573502297354544,0.059069556391291,0.0642350975083228,-1.3968351459415,2.26030455581427
60,1.5,0.6,0.2,50,1,1,0.0118755556561607,0.0656117767261402,0.0070102917357248,0.00947285115771277,50,2.02051841910228,1.04099801426618,50,0.928652400866641,1,0.00988325278876001,0.0138678585235614,0.0629196222145391,0.0683039312377413,1.72467005687053,2.31636678133403
60,1.5,0.6,0.3,50,1,0.94,0.0258049833894677,0.0648615651895718,0.0157121843903433,0.00944248937718336,50,1.23702709783191,0.798259290047068,47,0.837829083111618,0.979385029651026,0.021339629992763,0.0302703367861724,0.0621780394005245,0.0675450909786191,1.00264938988287,1.47140480578095
60,1.5,0.6,0.4,50,1,0.4,0.0685057869106685,0.0644864594212876,0.0381147938751181,0.00940439930914097,50,0.834687096210342,0.5824232450244,20,0.276083897302565,0.538185622524106,0.057673682343492,0.079337891477845,0.0618137587098035,0.0671591601327717,0.562104626905084,1.1072695655156
60,1.5,0.7,0.2,50,1,1,0.00487847485234296,0.0719885747869719,0.00405232539972439,0.00694560919636301,50,3.10273341280948,1.00261179629581,50,0.928652400866641,1,0.00372681671629581,0.00603013298839011,0.0700146544938633,0.0739624950800805,2.81779429301929,3.38767253259967
60,1.5,0.7,0.3,50,1,1,0.0115050636996548,0.0716134690186877,0.00668221845367038,0.00727870114146534,50,2.06081365822967,0.847381577249881,50,0.928652400866641,1,0.00960599822738614,0.0134041291719235,0.0695448850421901,0.0736820529951853,1.81999047857024,2.3016368378891
60,1.5,0.7,0.4,50,1,0.98,0.0251674100479239,0.0719885747869719,0.013584191668573,0.00694560919636301,50,1.29226714402727,0.833202098606449,49,0.895045564103622,0.996460740728354,0.0213068254912642,0.0290279946045836,0.0700146544938633,0.0739624950800805,1.05294355837247,1.53159072968207
100,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.6,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.6,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50,0.928652400866641,1,0.001,0.001,0.1,0.1,4.60517018598809,4.60517018598809
100,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
100,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
100,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50,0.928652400866641,1,0.001,0.001,0.133352143216332,0.133352143216332,4.89299332261235,4.89299332261235
100,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50,0.928652400866641,1,0.001,0.001,0.0749894209332456,0.0749894209332456,4.31734704936384,4.31734704936384
100,1,0.5,0.3,50,1,1,0.00131490715171544,0.0749894209332456,0.00109702360214732,0,50,4.17919194378419,0.420285341977012,50,0.928652400866641,1,0.00100313649358057,0.00162667780985031,0.0749894209332456,0.0749894209332456,4.05974817118338,4.298635716385
100,1,0.5,0.4,50,1,1,0.021822750795854,0.0749894209332456,0.0155259920647171,0,50,1.68664358061814,1.21280863341048,50,0.928652400866641,1,0.0174103126726097,0.0262351889190983,0.0749894209332456,0.0749894209332456,1.34196718068481,2.03131998055147
100,1,0.6,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50,0.928652400866641,1,0.001,0.001,0.0749894209332456,0.0749894209332456,4.31734704936384,4.31734704936384
100,1,0.6,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50,0.928652400866641,1,0.001,0.001,0.0749894209332456,0.0749894209332456,4.31734704936384,4.31734704936384
100,1,0.6,0.4,50,1,1,0.00117904358256783,0.0749894209332456,0.000793325978404495,0,50,4.23675657110904,0.323969045106197,50,0.928652400866641,1,0.000953582834122199,0.00140450433101346,0.0749894209332456,0.0749894209332456,4.1446855872119,4.32882755500618
100,1,0.7,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50,0.928652400866641,1,0.001,0.001,0.0749894209332456,0.0749894209332456,4.31734704936384,4.31734704936384
100,1,0.7,0.3,50,1,1,0.001,0.0759898440959158,0,0.00495081070518139,50,4.32885997482881,0.0569742052830913,50,0.928652400866641,1,0.001,0.001,0.0745828392613486,0.077396848930483,4.31266808484299,4.34505186481463
100,1,0.7,0.4,50,1,1,0.001,0.0754896325145807,0,0.00353703001190087,50,4.32310351209632,0.0407043383378786,50,0.928652400866641,1,0.001,0.001,0.0744844197074045,0.0764948453217569,4.31153546713566,4.33467155705698
100,1.5,0.5,0.2,50,1,1,0.0168270885275834,0.0562341325190349,0.00946831235990786,0,50,1.47365445951619,0.896401204396601,50,0.928652400866641,1,0.0141362239280462,0.0195179531271206,0.0562341325190349,0.0562341325190349,1.21890005596409,1.72840886306829
100,1.5,0.5,0.3,50,1,0.62,0.0455452249482818,0.0562341325190349,0.0265921533680147,0,50,0.919177113735526,0.864809481392168,31,0.48150446930993,0.741372106898064,0.0379878185802318,0.0531026313163318,0.0562341325190349,0.0562341325190349,0.601962434970339,1.23639179250071
100,1.5,0.5,0.4,50,1,0.08,0.299872873091863,0.0562341325190349,0.210461862905174,0,50,0.503690489092447,0.143911568312128,4,0.031549514088593,0.188382469183428,0.240060273452439,0.359685472731287,0.0562341325190349,0.0562341325190349,0.274695069661189,0.732685908523705
100,1.5,0.6,0.2,50,1,1,0.00769234056458689,0.0562341325190349,0.00527099096825488,0,50,2.31409801845902,0.928493108732646,50,0.928652400866641,1,0.00619434150606246,0.00919033962311132,0.0562341325190349,0.0562341325190349,2.05022319660775,2.57797284031029
100,1.5,0.6,0.3,50,1,1,0.0166327913517144,0.0562341325190349,0.00984487331128573,0,50,1.48516738498116,0.899639359335098,50,0.928652400866641,1,0.0138349093138932,0.0194306733895356,0.0562341325190349,0.0562341325190349,1.22949270797793,1.74084206198439
100,1.5,0.6,0.4,50,1,0.58,0.0453994879298003,0.0562341325190349,0.0255236192002044,0,50,0.803919795398783,0.577592524077115,29,0.442334417685782,0.70624996645288,0.0381457556122318,0.0526532202473688,0.0562341325190349,0.0562341325190349,0.584215349250798,1.02362424154677
100,1.5,0.7,0.2,50,1,1,0.00292533657249788,0.0562341325190349,0.00245276961822361,0,50,3.286940220249,0.808020819180896,50,0.928652400866641,1,0.00222826715974327,0.00362240598525249,0.0562341325190349,0.0562341325190349,3.05730324426271,3.51657719623529
100,1.5,0.7,0.3,50,1,1,0.00772932378779066,0.0562341325190349,0.00549255099338316,0,50,2.2795592420641,0.85627321444627,50,0.928652400866641,1,0.00616835806682122,0.0092902895087601,0.0562341325190349,0.0562341325190349,2.03620908707325,2.52290939705495
100,1.5,0.7,0.4,50,1,1,0.0168658413692412,0.0566092382873191,0.00983335525815831,0.00265239832415958,50,1.43911568312128,0.801529405815564,50,0.928652400866641,1,0.0140712327259002,0.0196604500125822,0.0558554350240708,0.0573630415505674,1.21132354640114,1.66690781984142
