"mu","sigma","item_overlap","class_overlap","n_preferred","frac_detected","frac_ob_lt_ow","mean_ob","mean_ow","sd_ob","sd_ow","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","mean_ob_ci_lo","mean_ob_ci_hi","mean_ow_ci_lo","mean_ow_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,0.5,0.5,0.2,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50,0.928652400866641,1,0.001,0.001,0.237137370566165,0.237137370566165,5.46863959586086,5.46863959586086
10,0.5,0.5,0.3,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50,0.928652400866641,1,0.001,0.001,0.237137370566165,0.237137370566165,5.46863959586086,5.46863959586086
10,0.5,0.5,0.4,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50,0.928652400866641,1,0.001,0.001,0.237137370566165,0.237137370566165,5.46863959586086,5.46863959586086
10,0.5,0.6,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,0.5,0.6,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,0.5,0.6,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,0.5,0.7,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,0.5,0.7,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,0.5,0.7,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50,0.928652400866641,1,0.001,0.001,0.316227766016838,0.316227766016838,5.75646273248511,5.75646273248511
10,1,0.5,0.2,50,1,1,0.00292862462871899,0.177827941003892,0.00520391899159303,0,50,4.72605590337028,0.899131815959619,50,0.928652400866641,1,0.00144968721505374,0.00440756204238424,0.177827941003892,0.177827941003892,4.47052546859839,4.98158633814217
