"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow"
10,0.5,0.5,0.2,0.001,50,1,0,1,27.52,1,6.52230083354527,0,50,NA,NA,0
10,0.5,0.5,0.2,0.01,50,1,0,1,27.52,1,6.52230083354527,0,50,NA,NA,0
10,0.5,0.5,0.2,0.1,50,1,0,1,27.26,4,6.43590058395331,0,50,NA,NA,0
10,0.5,0.5,0.2,0.5,50,1,0.02,0.44,28.56,23,6.75567788408161,0,50,0.42744401482694,NA,1
10,0.5,0.5,0.2,1,50,1,1,0,30.64,88,6.72418722802623,0,50,1.08157664532942,0.239794751751297,50
10,0.5,0.5,0.3,0.001,50,1,0,1,45.66,1,10.5726061120237,0,50,NA,NA,0
10,0.5,0.5,0.3,0.01,50,1,0,1,45.66,1,10.5726061120237,0,50,NA,NA,0
10,0.5,0.5,0.3,0.1,50,1,0,1,45.24,4,10.5299572648705,0,50,NA,NA,0
10,0.5,0.5,0.3,0.5,50,1,0,1,49.44,23,10.1823376490863,0,50,NA,NA,0
10,0.5,0.5,0.3,1,50,1,1,0,50.7,88,9.72111104761179,0,50,0.572145245457188,0.21272213351693,50
10,0.5,0.5,0.4,0.001,50,1,0,1,113.42,1,30.3436709602998,0,50,NA,NA,0
10,0.5,0.5,0.4,0.01,50,1,0,1,111.86,1,26.6955702203147,0,50,NA,NA,0
10,0.5,0.5,0.4,0.1,50,1,0,1,110.84,4,26.6116132390292,0,50,NA,NA,0
10,0.5,0.5,0.4,0.5,50,1,0,1,113.02,23,29.4725676672047,0,50,NA,NA,0
10,0.5,0.5,0.4,1,50,1,0,0.58,119.14,88,28.9207290957294,0,50,NA,NA,0
10,0.5,0.6,0.2,0.001,50,1,0,1,22.4,1,3.95897327444315,0,50,NA,NA,0
10,0.5,0.6,0.2,0.01,50,1,0,1,22.4,1,3.95897327444315,0,50,NA,NA,0
10,0.5,0.6,0.2,0.1,50,1,0,1,22.4,4,3.95897327444315,0,50,NA,NA,0
10,0.5,0.6,0.2,0.5,50,1,0.16,0.04,22.24,23,4.09359878595939,0,50,0.42744401482694,0,8
10,0.5,0.6,0.2,1,50,1,1,0,22.92,88,4.78876235555276,0,50,1.36584278282267,0.204693043778931,50
10,0.5,0.6,0.3,0.001,50,1,0,1,30.12,1,6.7932739845064,0,50,NA,NA,0
10,0.5,0.6,0.3,0.01,50,1,0,1,30.12,1,6.7932739845064,0,50,NA,NA,0
10,0.5,0.6,0.3,0.1,50,1,0,1,30.38,4,6.76391988752809,0,50,NA,NA,0
10,0.5,0.6,0.3,0.5,50,1,0.02,0.66,31.42,23,6.54057976585175,0,50,0.42744401482694,NA,1
10,0.5,0.6,0.3,1,50,1,1,0,34.76,88,7.87545917028697,0,50,0.955439266610782,0.239723685426754,50
10,0.5,0.6,0.4,0.001,50,1,0,1,46.5,1,10.6066017177982,0,50,NA,NA,0
10,0.5,0.6,0.4,0.01,50,1,0,1,46.5,1,10.6066017177982,0,50,NA,NA,0
10,0.5,0.6,0.4,0.1,50,1,0,1,46.5,4,10.6066017177982,0,50,NA,NA,0
10,0.5,0.6,0.4,0.5,50,1,0,1,49.44,23,10.1823376490863,0,50,NA,NA,0
