"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow"
10,0.5,0.6,0.4,1,50,1,1,0,50.7,88,9.72111104761179,0,50,0.572145245457188,0.21272213351693,50
10,0.5,0.7,0.2,0.001,50,1,0,1,19.16,1,4.03737639603559,0,50,NA,NA,0
10,0.5,0.7,0.2,0.01,50,1,0,1,19.16,1,4.03737639603559,0,50,NA,NA,0
10,0.5,0.7,0.2,0.1,50,1,0,1,19.16,4,4.03737639603559,0,50,NA,NA,0
10,0.5,0.7,0.2,0.5,50,1,0.5,0,19,23,4.04061017820884,0,50,0.42744401482694,0,25
10,0.5,0.7,0.2,1,50,1,1,0,19.64,88,3.98855505522632,0,50,1.52136908477637,0.213110498270528,50
10,0.5,0.7,0.3,0.001,50,1,0,1,22.98,1,4.10817999327474,0,50,NA,NA,0
10,0.5,0.7,0.3,0.01,50,1,0,1,22.98,1,4.10817999327474,0,50,NA,NA,0
10,0.5,0.7,0.3,0.1,50,1,0,1,23.24,4,4.50197235687213,0,50,NA,NA,0
10,0.5,0.7,0.3,0.5,50,1,0.12,0.08,23.08,23,4.65038949433051,0,50,0.42744401482694,0,6
10,0.5,0.7,0.3,1,50,1,1,0,24.86,88,5.60615550906651,0,50,1.28684478938382,0.212056142678839,50
10,0.5,0.7,0.4,0.001,50,1,0,1,31.48,1,7.32688646739681,0,50,NA,NA,0
10,0.5,0.7,0.4,0.01,50,1,0,1,31.48,1,7.32688646739681,0,50,NA,NA,0
10,0.5,0.7,0.4,0.1,50,1,0,1,31.48,4,7.32688646739681,0,50,NA,NA,0
10,0.5,0.7,0.4,0.5,50,1,0,0.64,31.74,23,7.25008092847161,0,50,NA,NA,0
10,0.5,0.7,0.4,1,50,1,1,0,33.56,88,6.39247006010883,0,50,0.983192668390459,0.203026335787847,50
10,1,0.5,0.2,0.001,50,1,0,1,32.62,1,5.76013747001488,0,50,NA,NA,0
10,1,0.5,0.2,0.01,50,1,0,1,32.62,1,5.76013747001488,0,50,NA,NA,0
10,1,0.5,0.2,0.1,50,1,0,1,33.04,4,6.70047211251657,0,50,NA,NA,0
10,1,0.5,0.2,0.5,50,1,0,0.88,38.22,23,9.83183085489085,0,50,NA,NA,0
10,1,0.5,0.2,1,50,1,1,0,43.88,88,11.1146896731583,0,50,0.727925933171799,0.257493598245681,50
10,1,0.5,0.3,0.001,50,1,0,1,56.1,1,14.6917302852833,0,50,NA,NA,0
10,1,0.5,0.3,0.01,50,1,0,1,56.1,1,14.6917302852833,0,50,NA,NA,0
10,1,0.5,0.3,0.1,50,1,0,1,56.32,4,13.3637340498493,0,50,NA,NA,0
10,1,0.5,0.3,0.5,50,1,0,1,63.58,23,16.5949217705727,0,50,NA,NA,0
10,1,0.5,0.3,1,50,1,0.6,0.02,69.16,88,19.646217894318,0,50,0.4802387795815,0.14021644557842,30
10,1,0.5,0.4,0.001,50,1,0,1,179.74,1,59.9972142210429,0,50,NA,NA,0
10,1,0.5,0.4,0.01,50,1,0,1,184.78,1,62.6588723622943,0,50,NA,NA,0
10,1,0.5,0.4,0.1,50,1,0,1,179.74,4,59.9972142210429,0,50,NA,NA,0
10,1,0.5,0.4,0.5,50,1,0,1,227.08,23,100.497505299528,0,50,NA,NA,0
10,1,0.5,0.4,1,50,1,0,0.92,302.5,88,130.688639170217,0,50,NA,NA,0
10,1,0.6,0.2,0.001,50,1,0,1,23.04,1,3.28857018741444,0,50,NA,NA,0
10,1,0.6,0.2,0.01,50,1,0,1,23.04,1,3.28857018741444,0,50,NA,NA,0
10,1,0.6,0.2,0.1,50,1,0,1,23.56,4,4.17064571910462,0,50,NA,NA,0
10,1,0.6,0.2,0.5,50,1,0.02,0.24,25.96,23,5.80977360899331,0,50,0.42744401482694,NA,1
10,1,0.6,0.2,1,50,1,1,0,29.86,88,6.81238368183791,0,50,1.10845812868104,0.242390263448089,50
10,1,0.6,0.3,0.001,50,1,0,1,35.44,1,7.12901515939314,0,50,NA,NA,0
10,1,0.6,0.3,0.01,50,1,0,1,35.44,1,7.12901515939314,0,50,NA,NA,0
10,1,0.6,0.3,0.1,50,1,0,1,36.12,4,7.52855787475061,0,50,NA,NA,0
10,1,0.6,0.3,0.5,50,1,0,0.98,38.26,23,7.22752674551557,0,50,NA,NA,0
10,1,0.6,0.3,1,50,1,0.98,0,43.92,88,12.15014907106,0,50,0.743531654044412,0.236462824084066,49
10,1,0.6,0.4,0.001,50,1,0,1,54.04,1,10.9674099783246,0,50,NA,NA,0
10,1,0.6,0.4,0.01,50,1,0,1,54.04,1,10.9674099783246,0,50,NA,NA,0
10,1,0.6,0.4,0.1,50,1,0,1,56.14,4,9.13618059795051,0,50,NA,NA,0
10,1,0.6,0.4,0.5,50,1,0,1,67.52,23,18.0963859285071,0,50,NA,NA,0
10,1,0.6,0.4,1,50,1,0.4,0.04,77.64,88,19.7202475457411,0,50,0.434285546643656,0,20
10,1,0.7,0.2,0.001,50,1,0,1,21.24,1,3.34761566077184,0,50,NA,NA,0
10,1,0.7,0.2,0.01,50,1,0,1,21.24,1,3.34761566077184,0,50,NA,NA,0
10,1,0.7,0.2,0.1,50,1,0,1,21.24,4,3.34761566077184,0,50,NA,NA,0
10,1,0.7,0.2,0.5,50,1,0.14,0.02,22.14,23,3.4405149116292,0,50,0.42744401482694,0,7
10,1,0.7,0.2,1,50,1,1,0,23.82,88,4.52516771591317,0,50,1.32268676718598,0.176901253652667,50
10,1,0.7,0.3,0.001,50,1,0,1,23.82,1,4.52516771591317,0,50,NA,NA,0
10,1,0.7,0.3,0.01,50,1,0,1,23.82,1,4.52516771591317,0,50,NA,NA,0
10,1,0.7,0.3,0.1,50,1,0,1,24.08,4,4.83963230176906,0,50,NA,NA,0
10,1,0.7,0.3,0.5,50,1,0.06,0.28,26.16,23,6.48187425653653,0,50,0.42744401482694,0,3
10,1,0.7,0.3,1,50,1,1,0,31.42,88,6.54057976585175,0,50,1.0546951619778,0.234041200157461,50
10,1,0.7,0.4,0.001,50,1,0,1,35.02,1,6.41582864039067,0,50,NA,NA,0
10,1,0.7,0.4,0.01,50,1,0,1,35.02,1,6.41582864039067,0,50,NA,NA,0
10,1,0.7,0.4,0.1,50,1,0,1,35.44,4,7.12901515939314,0,50,NA,NA,0
10,1,0.7,0.4,0.5,50,1,0,0.92,38.32,23,8.96123169376776,0,50,NA,NA,0
10,1,0.7,0.4,1,50,1,0.98,0,46.28,88,12.0560595315622,0,50,0.687497238341981,0.230935465699822,49
10,1.5,0.5,0.2,0.001,50,1,0,1,49.64,1,11.6334493103784,0,50,NA,NA,0
10,1.5,0.5,0.2,0.01,50,1,0,1,50.26,1,12.8011638501492,0,50,NA,NA,0
10,1.5,0.5,0.2,0.1,50,1,0,1,53.38,4,15.1224795504938,0,50,NA,NA,0
10,1.5,0.5,0.2,0.5,50,1,0,1,90.88,23,35.319902465948,0,50,NA,NA,0
10,1.5,0.5,0.2,1,50,1,0.02,0.82,155.62,57,79.9203404417582,0,50,0.45953232937844,NA,1
10,1.5,0.5,0.3,0.001,50,1,0,1,97.82,1,35.9499027843481,0,50,NA,NA,0
10,1.5,0.5,0.3,0.01,50,1,0,1,97.4,1,36.5541253709161,0,50,NA,NA,0
10,1.5,0.5,0.3,0.1,50,1,0,1,116.62,4,52.63307333002,0,50,NA,NA,0
10,1.5,0.5,0.3,0.5,50,0.98,0,0.98,309.530612244898,23,294.14261719734,0,49,NA,NA,0
10,1.5,0.5,0.3,1,50,0.94,0,0.94,642.829787234043,57,603.896633796566,0,47,NA,NA,0
10,1.5,0.5,0.4,0.001,50,0.22,0,0.22,522.454545454545,1,342.719816653885,0,11,NA,NA,0
10,1.5,0.5,0.4,0.01,50,0.22,0,0.22,484,1,335.050443963293,0,11,NA,NA,0
10,1.5,0.5,0.4,0.1,50,0.18,0,0.18,440,4,350.313431087077,0,9,NA,NA,0
10,1.5,0.5,0.4,0.5,50,0.08,0,0.08,626.5,23,487.568456731975,0,4,NA,NA,0
10,1.5,0.5,0.4,1,50,0.08,0,0.08,306.25,57,355.736208446652,0,4,NA,NA,0
10,1.5,0.6,0.2,0.001,50,1,0,1,34.92,1,7.53993449871403,0,50,NA,NA,0
10,1.5,0.6,0.2,0.01,50,1,0,1,34.92,1,7.53993449871403,0,50,NA,NA,0
10,1.5,0.6,0.2,0.1,50,1,0,1,36.96,4,8.5879840118479,0,50,NA,NA,0
10,1.5,0.6,0.2,0.5,50,1,0,0.96,50.98,23,15.5451810237522,0,50,NA,NA,0
10,1.5,0.6,0.2,1,50,1,0.16,0.38,69.24,57,27.8711027292954,0,50,0.51553541969431,0.158400659719017,8
10,1.5,0.6,0.3,0.001,50,1,0,1,51.1,1,12.5181500882779,0,50,NA,NA,0
10,1.5,0.6,0.3,0.01,50,1,0,1,51.1,1,12.5181500882779,0,50,NA,NA,0
10,1.5,0.6,0.3,0.1,50,1,0,1,53.18,4,14.0910885140291,0,50,NA,NA,0
10,1.5,0.6,0.3,0.5,50,1,0,1,89.18,23,36.4017772609402,0,50,NA,NA,0
10,1.5,0.6,0.3,1,50,1,0.04,0.86,145.82,57,69.3726082507369,0,50,0.45953232937844,0,2
10,1.5,0.6,0.4,0.001,50,1,0,1,102.48,1,36.9501815742135,0,50,NA,NA,0
10,1.5,0.6,0.4,0.01,50,1,0,1,105.46,1,40.9938820721695,0,50,NA,NA,0
10,1.5,0.6,0.4,0.1,50,1,0,1,117.52,4,39.6779072851708,0,50,NA,NA,0
10,1.5,0.6,0.4,0.5,50,0.98,0,0.98,377.367346938775,23,699.804338543923,0,49,NA,NA,0
10,1.5,0.6,0.4,1,50,0.96,0.02,0.88,867.333333333333,57,1205.05058308829,0,48,0.45953232937844,NA,1
10,1.5,0.7,0.2,0.001,50,1,0,1,25.8,1,6,0,50,NA,NA,0
10,1.5,0.7,0.2,0.01,50,1,0,1,25.8,1,6,0,50,NA,NA,0
10,1.5,0.7,0.2,0.1,50,1,0,1,26.58,4,6.42409367863177,0,50,NA,NA,0
10,1.5,0.7,0.2,0.5,50,1,0.02,0.82,37.7,23,11.1194809745265,0,50,0.42744401482694,NA,1
10,1.5,0.7,0.2,1,50,1,0.48,0.08,48.72,57,16.3120588923079,0,50,0.514677890206809,0.19717426335512,24
10,1.5,0.7,0.3,0.001,50,1,0,1,35.6,1,7.96420563700935,0,50,NA,NA,0
10,1.5,0.7,0.3,0.01,50,1,0,1,35.18,1,7.34205109528082,0,50,NA,NA,0
10,1.5,0.7,0.3,0.1,50,1,0,1,37.7,4,10.2782711164309,0,50,NA,NA,0
10,1.5,0.7,0.3,0.5,50,1,0,0.96,57.02,23,17.711393773155,0,50,NA,NA,0
10,1.5,0.7,0.3,1,50,1,0.12,0.54,75.8,57,28.9848658609901,0,50,0.608873903554094,0.231358971871482,6
10,1.5,0.7,0.4,0.001,50,1,0,1,52.8,1,17.2176937942291,0,50,NA,NA,0
10,1.5,0.7,0.4,0.01,50,1,0,1,52.8,1,17.2176937942291,0,50,NA,NA,0
10,1.5,0.7,0.4,0.1,50,1,0,1,57.24,4,21.7317223224953,0,50,NA,NA,0
10,1.5,0.7,0.4,0.5,50,1,0,1,100.96,23,42.7016034684356,0,50,NA,NA,0
10,1.5,0.7,0.4,1,50,1,0.04,0.88,160.78,57,73.4892162018291,0,50,0.45953232937844,0,2
30,0.5,0.5,0.2,0.001,50,1,0,1,12.36,1,3.1864509077899,0,50,NA,NA,0
30,0.5,0.5,0.2,0.01,50,1,0,1,12.36,1,3.1864509077899,0,50,NA,NA,0
30,0.5,0.5,0.2,0.1,50,1,0,1,12.36,4,3.1864509077899,0,50,NA,NA,0
30,0.5,0.5,0.2,0.5,50,1,1,0,12.36,23,3.1864509077899,0,50,0.658209381132982,0.284800618992291,50
30,0.5,0.5,0.2,1,50,1,1,0,12.6,88,3.14934395500694,0,50,1.9796189547314,0.282236715812013,50
30,0.5,0.5,0.3,0.001,50,1,0,1,18.08,1,4.14453168128111,0,50,NA,NA,0
30,0.5,0.5,0.3,0.01,50,1,0,1,18.08,1,4.14453168128111,0,50,NA,NA,0
30,0.5,0.5,0.3,0.1,50,1,0,1,18.08,4,4.14453168128111,0,50,NA,NA,0
30,0.5,0.5,0.3,0.5,50,1,0.46,0,19.2,23,4.24264068711928,0,50,0.449653824555896,0.106514505624905,23
30,0.5,0.5,0.3,1,50,1,1,0,20.6,88,3.70328039909021,0,50,1.47007580299714,0.197868130227129,50
30,0.5,0.5,0.4,0.001,50,1,0,1,33.04,1,7.93072042948257,0,50,NA,NA,0
30,0.5,0.5,0.4,0.01,50,1,0,1,33.2,1,8.73416935293301,0,50,NA,NA,0
30,0.5,0.5,0.4,0.1,50,1,0,1,32.26,4,8.24078954014104,0,50,NA,NA,0
30,0.5,0.5,0.4,0.5,50,1,0.02,0.82,37.7,23,11.1194809745265,0,50,0.42744401482694,NA,1
30,0.5,0.5,0.4,1,50,1,0.98,0,45.6,88,13.0993067272545,0,50,0.714507308951794,0.290023315397381,49
30,0.5,0.6,0.2,0.001,50,1,0,1,9.74,1,2.89834576323552,0,50,NA,NA,0
30,0.5,0.6,0.2,0.01,50,1,0,1,9.74,1,2.89834576323552,0,50,NA,NA,0
30,0.5,0.6,0.2,0.1,50,1,0,0.98,9.74,4,2.89834576323552,0,50,NA,NA,0
30,0.5,0.6,0.2,0.5,50,1,1,0,9.62,23,2.79861481771951,0,50,0.911195443612358,0.284133279243249,50
30,0.5,0.6,0.2,1,50,1,1,0,9.62,88,2.79861481771951,0,50,2.25303804216142,0.284133279243249,50
30,0.5,0.6,0.3,0.001,50,1,0,1,13.14,1,3.0839280544296,0,50,NA,NA,0
30,0.5,0.6,0.3,0.01,50,1,0,1,13.14,1,3.0839280544296,0,50,NA,NA,0
30,0.5,0.6,0.3,0.1,50,1,0,1,13.14,4,3.0839280544296,0,50,NA,NA,0
30,0.5,0.6,0.3,0.5,50,1,1,0,13.14,23,3.0839280544296,0,50,0.594803095967907,0.285309857008096,50
30,0.5,0.6,0.3,1,50,1,1,0,13.42,88,3.32639413767877,0,50,1.91788030174511,0.293010359556678,50
30,0.5,0.6,0.4,0.001,50,1,0,1,18.36,1,3.98855505522632,0,50,NA,NA,0
30,0.5,0.6,0.4,0.01,50,1,0,1,18.36,1,3.98855505522632,0,50,NA,NA,0
30,0.5,0.6,0.4,0.1,50,1,0,1,18.36,4,3.98855505522632,0,50,NA,NA,0
30,0.5,0.6,0.4,0.5,50,1,0.52,0,18.84,23,4.03737639603559,0,50,0.42744401482694,0,26
30,0.5,0.6,0.4,1,50,1,1,0,20.7,88,4.35304256719788,0,50,1.46966418884314,0.21698971938931,50
30,0.5,0.7,0.2,0.001,50,1,0,1,7.54,1,1.64391270437084,0,50,NA,NA,0
30,0.5,0.7,0.2,0.01,50,1,0,1,7.54,1,1.64391270437084,0,50,NA,NA,0
30,0.5,0.7,0.2,0.1,50,1,0,0.96,7.54,4,1.64391270437084,0,50,NA,NA,0
30,0.5,0.7,0.2,0.5,50,1,1,0,7.66,23,1.94422220952236,0,50,1.13078568017169,0.254569591445188,50
30,0.5,0.7,0.2,1,50,1,1,0,7.78,88,1.93031667064749,0,50,2.45640967439642,0.253375427423793,50
30,0.5,0.7,0.3,0.001,50,1,0,1,8.94,1,1.86711607806788,0,50,NA,NA,0
30,0.5,0.7,0.3,0.01,50,1,0,1,8.94,1,1.86711607806788,0,50,NA,NA,0
30,0.5,0.7,0.3,0.1,50,1,0,1,8.94,4,1.86711607806788,0,50,NA,NA,0
30,0.5,0.7,0.3,0.5,50,1,1,0,8.94,23,1.86711607806788,0,50,0.964385216302114,0.196891193457026,50
30,0.5,0.7,0.3,1,50,1,1,0,9.42,88,2.49971426938589,0,50,2.26536176494989,0.246051868641182,50
30,0.5,0.7,0.4,0.001,50,1,0,1,13.68,1,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.4,0.01,50,1,0,1,13.68,1,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.4,0.1,50,1,0,1,13.68,4,2.51071174557888,0,50,NA,NA,0
30,0.5,0.7,0.4,0.5,50,1,1,0,13.8,23,2.42436610692531,0,50,0.529609139580138,0.206404721467874,50
30,0.5,0.7,0.4,1,50,1,1,0,14.16,88,2.10305899652319,0,50,1.84080220070324,0.179049403952607,50
30,1,0.5,0.2,0.001,50,1,0,1,13.98,1,2.39463686480554,0,50,NA,NA,0
30,1,0.5,0.2,0.01,50,1,0,1,13.98,1,2.39463686480554,0,50,NA,NA,0
30,1,0.5,0.2,0.1,50,1,0,1,13.98,4,2.39463686480554,0,50,NA,NA,0
30,1,0.5,0.2,0.5,50,1,0.94,0,14.58,23,3.13042997633467,0,50,0.512151344070984,0.212029788011536,47
30,1,0.5,0.2,1,50,1,1,0,16.26,57,4.31802108869896,0,50,1.29160636771264,0.285060165918766,50
30,1,0.5,0.3,0.001,50,1,0,1,20.22,1,4.51433092201595,0,50,NA,NA,0
30,1,0.5,0.3,0.01,50,1,0,1,20.22,1,4.51433092201595,0,50,NA,NA,0
30,1,0.5,0.3,0.1,50,1,0,1,19.74,4,4.61943542800085,0,50,NA,NA,0
30,1,0.5,0.3,0.5,50,1,0.2,0.16,23.48,23,6.35751202780407,0,50,0.42744401482694,0,10
30,1,0.5,0.3,1,50,1,1,0,28.92,57,7.04458106979965,0,50,0.709602945685537,0.256489368481032,50
30,1,0.5,0.4,0.001,50,1,0,1,45.64,1,13.3244596321876,0,50,NA,NA,0
30,1,0.5,0.4,0.01,50,1,0,1,45.38,1,13.6395134271943,0,50,NA,NA,0
30,1,0.5,0.4,0.1,50,1,0,1,48.78,4,14.3488462168602,0,50,NA,NA,0
30,1,0.5,0.4,0.5,50,1,0,0.98,59.76,23,20.2621190744639,0,50,NA,NA,0
30,1,0.5,0.4,1,50,1,0.14,0.58,79.18,57,30.8714847622943,0,50,0.45953232937844,0,7
30,1,0.6,0.2,0.001,50,1,0,1,11.88,1,3.37239695535531,0,50,NA,NA,0
30,1,0.6,0.2,0.01,50,1,0,1,11.88,1,3.37239695535531,0,50,NA,NA,0
30,1,0.6,0.2,0.1,50,1,0,1,11.88,4,3.37239695535531,0,50,NA,NA,0
30,1,0.6,0.2,0.5,50,1,1,0,12.12,23,3.37239695535531,0,50,0.684644497932629,0.311275228234526,50
30,1,0.6,0.2,1,50,1,1,0,12.94,57,3.49582841777605,0,50,1.52446080500273,0.305056847530443,50
30,1,0.6,0.3,0.001,50,1,0,1,14.04,1,2.22196823945412,0,50,NA,NA,0
30,1,0.6,0.3,0.01,50,1,0,1,14.04,1,2.22196823945412,0,50,NA,NA,0
30,1,0.6,0.3,0.1,50,1,0,1,14.04,4,2.22196823945412,0,50,NA,NA,0
30,1,0.6,0.3,0.5,50,1,0.94,0,14.64,23,2.98813982133312,0,50,0.503524426877194,0.183833156733856,47
30,1,0.6,0.3,1,50,1,1,0,16.48,57,4.29161498548897,0,50,1.27494818525393,0.267246186140842,50
30,1,0.6,0.4,0.001,50,1,0,1,19.74,1,4.61943542800085,0,50,NA,NA,0
30,1,0.6,0.4,0.01,50,1,0,1,19.74,1,4.61943542800085,0,50,NA,NA,0
30,1,0.6,0.4,0.1,50,1,0,1,19.9,4,4.59036257515989,0,50,NA,NA,0
30,1,0.6,0.4,0.5,50,1,0.16,0.18,24.06,23,6.35163485302189,0,50,0.42744401482694,0,8
30,1,0.6,0.4,1,50,1,1,0,27.56,57,7.27915671276416,0,50,0.762542684080771,0.274564524938253,50
30,1,0.7,0.2,0.001,50,1,0,1,9.36,1,2.3190427300232,0,50,NA,NA,0
30,1,0.7,0.2,0.01,50,1,0,1,9.36,1,2.3190427300232,0,50,NA,NA,0
30,1,0.7,0.2,0.1,50,1,0,1,9.36,4,2.3190427300232,0,50,NA,NA,0
30,1,0.7,0.2,0.5,50,1,1,0,9.6,23,2.57142857142857,0,50,0.905193351763351,0.248228508493015,50
30,1,0.7,0.2,1,50,1,1,0,10.5,57,3.10529501704059,0,50,1.73312551417935,0.289301561496115,50
30,1,0.7,0.3,0.001,50,1,0,1,11.48,1,3.25287941519447,0,50,NA,NA,0
30,1,0.7,0.3,0.01,50,1,0,1,11.48,1,3.25287941519447,0,50,NA,NA,0
30,1,0.7,0.3,0.1,50,1,0,0.98,11.48,4,3.25287941519447,0,50,NA,NA,0
30,1,0.7,0.3,0.5,50,1,1,0,11.96,23,3.29477012917163,0,50,0.696968220721105,0.309548859399199,50
30,1,0.7,0.3,1,50,1,1,0,12.8,57,3.1943828249997,0,50,1.53300968529927,0.304403023093191,50
30,1,0.7,0.4,0.001,50,1,0,1,14.92,1,1.66402511754983,0,50,NA,NA,0
30,1,0.7,0.4,0.01,50,1,0,1,14.92,1,1.66402511754983,0,50,NA,NA,0
30,1,0.7,0.4,0.1,50,1,0,1,15.08,4,2.01868819801779,0,50,NA,NA,0
30,1,0.7,0.4,0.5,50,1,0.9,0,15.56,23,2.7712812921102,0,50,0.450147375883206,0.106460696828531,45
30,1,0.7,0.4,1,50,1,1,0,17.96,57,4.3187299720437,0,50,1.1844564857522,0.24919747963212,50
30,1.5,0.5,0.2,0.001,50,1,0,1,17.14,1,4.39856191712422,0,50,NA,NA,0
30,1.5,0.5,0.2,0.01,50,1,0,1,17.14,1,4.39856191712422,0,50,NA,NA,0
30,1.5,0.5,0.2,0.1,50,1,0,1,17.62,4,4.57540006057238,0,50,NA,NA,0
30,1.5,0.5,0.2,0.5,50,1,0.16,0.36,26.34,23,9.65234453912835,0,50,0.720369900766227,0.423197966391673,8
30,1.5,0.5,0.2,1,50,1,0.72,0,39.06,57,13.473193339944,0,50,0.645047067732462,0.457224784168098,36
30,1.5,0.5,0.3,0.001,50,1,0,1,26.84,1,6.53830159560585,0,50,NA,NA,0
30,1.5,0.5,0.3,0.01,50,1,0,1,27.1,1,6.6401684266812,0,50,NA,NA,0
30,1.5,0.5,0.3,0.1,50,1,0,1,28.24,4,7.19569032016202,0,50,NA,NA,0
30,1.5,0.5,0.3,0.5,50,1,0.02,0.9,51.08,23,17.5973560166154,0,50,0.42744401482694,NA,1
30,1.5,0.5,0.3,1,50,1,0.12,0.6,77.92,57,28.2567239604946,0,50,0.534203116466267,0.182905327057178,6
30,1.5,0.5,0.4,0.001,50,1,0,1,86.7,1,38.0001342639948,0,50,NA,NA,0
30,1.5,0.5,0.4,0.01,50,1,0,1,87.52,1,37.9716543043919,0,50,NA,NA,0
30,1.5,0.5,0.4,0.1,50,1,0,1,122.9,4,66.3276499120626,0,50,NA,NA,0
30,1.5,0.5,0.4,0.5,50,0.94,0,0.94,329.212765957447,23,275.823899094601,0,47,NA,NA,0
30,1.5,0.5,0.4,1,50,0.94,0.02,0.88,753.446808510638,57,946.572531236654,0,47,0.45953232937844,NA,1
30,1.5,0.6,0.2,0.001,50,1,0,1,14.58,1,1.71535680824481,0,50,NA,NA,0
30,1.5,0.6,0.2,0.01,50,1,0,1,14.58,1,1.71535680824481,0,50,NA,NA,0
30,1.5,0.6,0.2,0.1,50,1,0,1,14.58,4,1.71535680824481,0,50,NA,NA,0
30,1.5,0.6,0.2,0.5,50,1,0.78,0,16.46,23,3.81837661840736,0,50,0.464036741894636,0.166093620074454,39
30,1.5,0.6,0.2,1,50,1,1,0,21.38,57,6.98654683908251,0,50,1.03621625765267,0.349518751007183,50
30,1.5,0.6,0.3,0.001,50,1,0,1,18.24,1,4.17749070273395,0,50,NA,NA,0
30,1.5,0.6,0.3,0.01,50,1,0,1,18.24,1,4.17749070273395,0,50,NA,NA,0
30,1.5,0.6,0.3,0.1,50,1,0,1,18.82,4,4.85584016144162,0,50,NA,NA,0
30,1.5,0.6,0.3,0.5,50,1,0.18,0.28,25.92,23,9.71184843374319,0,50,0.484202417467605,0.170275207921997,9
30,1.5,0.6,0.3,1,50,1,0.82,0.02,36.36,57,14.2151973864134,0,50,0.655247996896104,0.347209865822861,41
30,1.5,0.6,0.4,0.001,50,1,0,1,28.98,1,7.79976451763848,0,50,NA,NA,0
30,1.5,0.6,0.4,0.01,50,1,0,1,28.56,1,6.75567788408161,0,50,NA,NA,0
30,1.5,0.6,0.4,0.1,50,1,0,1,31.32,4,7.59817378703325,0,50,NA,NA,0
