"mu","sigma","item_overlap","class_overlap","n_preferred","seed","ob_alpha","ow_alpha"
10,0.5,0.5,0.2,50,1,0.001,0.237137370566165
10,0.5,0.5,0.2,50,2,0.001,0.237137370566165
10,0.5,0.5,0.2,50,3,0.001,0.237137370566165
10,0.5,0.5,0.2,50,4,0.001,0.237137370566165
10,0.5,0.5,0.2,50,5,0.001,0.237137370566165
10,0.5,0.5,0.2,50,6,0.001,0.237137370566165
10,0.5,0.5,0.2,50,7,0.001,0.237137370566165
10,0.5,0.5,0.2,50,8,0.001,0.237137370566165
10,0.5,0.5,0.2,50,9,0.001,0.237137370566165
10,0.5,0.5,0.2,50,10,0.001,0.237137370566165
10,0.5,0.5,0.2,50,11,0.001,0.237137370566165
10,0.5,0.5,0.2,50,12,0.001,0.237137370566165
10,0.5,0.5,0.2,50,13,0.001,0.237137370566165
10,0.5,0.5,0.2,50,14,0.001,0.237137370566165
10,0.5,0.5,0.2,50,15,0.001,0.237137370566165
10,0.5,0.5,0.2,50,16,0.001,0.237137370566165
10,0.5,0.5,0.2,50,17,0.001,0.237137370566165
10,0.5,0.5,0.2,50,18,0.001,0.237137370566165
10,0.5,0.5,0.2,50,19,0.001,0.237137370566165
10,0.5,0.5,0.2,50,20,0.001,0.237137370566165
10,0.5,0.5,0.2,50,21,0.001,0.237137370566165
10,0.5,0.5,0.2,50,22,0.001,0.237137370566165
10,0.5,0.5,0.2,50,23,0.001,0.237137370566165
10,0.5,0.5,0.2,50,24,0.001,0.237137370566165
10,0.5,0.5,0.2,50,25,0.001,0.237137370566165
10,0.5,0.5,0.2,50,26,0.001,0.237137370566165
10,0.5,0.5,0.2,50,27,0.001,0.237137370566165
10,0.5,0.5,0.2,50,28,0.001,0.237137370566165
10,0.5,0.5,0.2,50,29,0.001,0.237137370566165
10,0.5,0.5,0.2,50,30,0.001,0.237137370566165
10,0.5,0.5,0.2,50,31,0.001,0.237137370566165
10,0.5,0.5,0.2,50,32,0.001,0.237137370566165
10,0.5,0.5,0.2,50,33,0.001,0.237137370566165
10,0.5,0.5,0.2,50,34,0.001,0.237137370566165
10,0.5,0.5,0.2,50,35,0.001,0.237137370566165
10,0.5,0.5,0.2,50,36,0.001,0.237137370566165
10,0.5,0.5,0.2,50,37,0.001,0.237137370566165
10,0.5,0.5,0.2,50,38,0.001,0.237137370566165
10,0.5,0.5,0.2,50,39,0.001,0.237137370566165
10,0.5,0.5,0.2,50,40,0.001,0.237137370566165
10,0.5,0.5,0.2,50,41,0.001,0.237137370566165
10,0.5,0.5,0.2,50,42,0.001,0.237137370566165
10,0.5,0.5,0.2,50,43,0.001,0.237137370566165
10,0.5,0.5,0.2,50,44,0.001,0.237137370566165
10,0.5,0.5,0.2,50,45,0.001,0.237137370566165
10,0.5,0.5,0.2,50,46,0.001,0.237137370566165
10,0.5,0.5,0.2,50,47,0.001,0.237137370566165
10,0.5,0.5,0.2,50,48,0.001,0.237137370566165
10,0.5,0.5,0.2,50,49,0.001,0.237137370566165
10,0.5,0.5,0.2,50,50,0.001,0.237137370566165
30,0.5,0.5,0.2,50,1,0.001,0.133352143216332
30,0.5,0.5,0.2,50,2,0.001,0.133352143216332
30,0.5,0.5,0.2,50,3,0.001,0.133352143216332
30,0.5,0.5,0.2,50,4,0.001,0.133352143216332
30,0.5,0.5,0.2,50,5,0.001,0.133352143216332
30,0.5,0.5,0.2,50,6,0.001,0.133352143216332
30,0.5,0.5,0.2,50,7,0.001,0.133352143216332
30,0.5,0.5,0.2,50,8,0.001,0.133352143216332
30,0.5,0.5,0.2,50,9,0.001,0.133352143216332
30,0.5,0.5,0.2,50,10,0.001,0.133352143216332
30,0.5,0.5,0.2,50,11,0.001,0.133352143216332
30,0.5,0.5,0.2,50,12,0.001,0.133352143216332
30,0.5,0.5,0.2,50,13,0.001,0.133352143216332
30,0.5,0.5,0.2,50,14,0.001,0.133352143216332
30,0.5,0.5,0.2,50,15,0.001,0.133352143216332
30,0.5,0.5,0.2,50,16,0.001,0.133352143216332
30,0.5,0.5,0.2,50,17,0.001,0.133352143216332
30,0.5,0.5,0.2,50,18,0.001,0.133352143216332
30,0.5,0.5,0.2,50,19,0.001,0.133352143216332
30,0.5,0.5,0.2,50,20,0.001,0.133352143216332
30,0.5,0.5,0.2,50,21,0.001,0.133352143216332
30,0.5,0.5,0.2,50,22,0.001,0.133352143216332
30,0.5,0.5,0.2,50,23,0.001,0.133352143216332
30,0.5,0.5,0.2,50,24,0.001,0.133352143216332
30,0.5,0.5,0.2,50,25,0.001,0.133352143216332
30,0.5,0.5,0.2,50,26,0.001,0.133352143216332
30,0.5,0.5,0.2,50,27,0.001,0.133352143216332
30,0.5,0.5,0.2,50,28,0.001,0.133352143216332
30,0.5,0.5,0.2,50,29,0.001,0.133352143216332
30,0.5,0.5,0.2,50,30,0.001,0.133352143216332
30,0.5,0.5,0.2,50,31,0.001,0.133352143216332
30,0.5,0.5,0.2,50,32,0.001,0.133352143216332
30,0.5,0.5,0.2,50,33,0.001,0.133352143216332
30,0.5,0.5,0.2,50,34,0.001,0.133352143216332
30,0.5,0.5,0.2,50,35,0.001,0.133352143216332
30,0.5,0.5,0.2,50,36,0.001,0.133352143216332
30,0.5,0.5,0.2,50,37,0.001,0.133352143216332
30,0.5,0.5,0.2,50,38,0.001,0.133352143216332
30,0.5,0.5,0.2,50,39,0.001,0.133352143216332
30,0.5,0.5,0.2,50,40,0.001,0.133352143216332
30,0.5,0.5,0.2,50,41,0.001,0.133352143216332
30,0.5,0.5,0.2,50,42,0.001,0.133352143216332
30,0.5,0.5,0.2,50,43,0.001,0.133352143216332
30,0.5,0.5,0.2,50,44,0.001,0.133352143216332
30,0.5,0.5,0.2,50,45,0.001,0.133352143216332
30,0.5,0.5,0.2,50,46,0.001,0.133352143216332
30,0.5,0.5,0.2,50,47,0.001,0.133352143216332
30,0.5,0.5,0.2,50,48,0.001,0.133352143216332
30,0.5,0.5,0.2,50,49,0.001,0.133352143216332
30,0.5,0.5,0.2,50,50,0.001,0.133352143216332
60,0.5,0.5,0.2,50,1,0.001,0.1
60,0.5,0.5,0.2,50,2,0.001,0.1
60,0.5,0.5,0.2,50,3,0.001,0.1
60,0.5,0.5,0.2,50,4,0.001,0.1
60,0.5,0.5,0.2,50,5,0.001,0.1
60,0.5,0.5,0.2,50,6,0.001,0.1
60,0.5,0.5,0.2,50,7,0.001,0.1
60,0.5,0.5,0.2,50,8,0.001,0.1
60,0.5,0.5,0.2,50,9,0.001,0.1
60,0.5,0.5,0.2,50,10,0.001,0.1
60,0.5,0.5,0.2,50,11,0.001,0.1
60,0.5,0.5,0.2,50,12,0.001,0.1
60,0.5,0.5,0.2,50,13,0.001,0.1
60,0.5,0.5,0.2,50,14,0.001,0.1
60,0.5,0.5,0.2,50,15,0.001,0.1
60,0.5,0.5,0.2,50,16,0.001,0.1
60,0.5,0.5,0.2,50,17,0.001,0.1
60,0.5,0.5,0.2,50,18,0.001,0.1
60,0.5,0.5,0.2,50,19,0.001,0.1
60,0.5,0.5,0.2,50,20,0.001,0.1
60,0.5,0.5,0.2,50,21,0.001,0.1
60,0.5,0.5,0.2,50,22,0.001,0.1
60,0.5,0.5,0.2,50,23,0.001,0.1
60,0.5,0.5,0.2,50,24,0.001,0.1
60,0.5,0.5,0.2,50,25,0.001,0.1
60,0.5,0.5,0.2,50,26,0.001,0.1
60,0.5,0.5,0.2,50,27,0.001,0.1
60,0.5,0.5,0.2,50,28,0.001,0.1
60,0.5,0.5,0.2,50,29,0.001,0.1
60,0.5,0.5,0.2,50,30,0.001,0.1
60,0.5,0.5,0.2,50,31,0.001,0.1
60,0.5,0.5,0.2,50,32,0.001,0.1
60,0.5,0.5,0.2,50,33,0.001,0.1
60,0.5,0.5,0.2,50,34,0.001,0.1
60,0.5,0.5,0.2,50,35,0.001,0.1
60,0.5,0.5,0.2,50,36,0.001,0.1
60,0.5,0.5,0.2,50,37,0.001,0.1
60,0.5,0.5,0.2,50,38,0.001,0.1
60,0.5,0.5,0.2,50,39,0.001,0.1
60,0.5,0.5,0.2,50,40,0.001,0.1
60,0.5,0.5,0.2,50,41,0.001,0.1
60,0.5,0.5,0.2,50,42,0.001,0.1
60,0.5,0.5,0.2,50,43,0.001,0.1
60,0.5,0.5,0.2,50,44,0.001,0.1
60,0.5,0.5,0.2,50,45,0.001,0.1
60,0.5,0.5,0.2,50,46,0.001,0.1
60,0.5,0.5,0.2,50,47,0.001,0.1
60,0.5,0.5,0.2,50,48,0.001,0.1
60,0.5,0.5,0.2,50,49,0.001,0.1
