"mu","sigma","item_overlap","class_overlap","gamma","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","mean_log_ratio"
100,1,0.5,0.2,10,50,1,0,0,1,1,NA
10,1.5,0.5,0.2,10,50,1,0,0,1,1,NA
30,1.5,0.5,0.2,10,50,1,0,0,1,1,NA
60,1.5,0.5,0.2,10,50,1,0,0,1,1,NA
100,1.5,0.5,0.2,10,50,1,0,0,1,1,NA
10,0.5,0.6,0.2,10,50,1,0,0,1,1,NA
30,0.5,0.6,0.2,10,50,1,0,0,1,1,NA
60,0.5,0.6,0.2,10,50,1,0,0,1,1,NA
100,0.5,0.6,0.2,10,50,1,0,0,1,1,NA
10,1,0.6,0.2,10,50,1,0,0,1,1,NA
30,1,0.6,0.2,10,50,1,0,0,1,1,NA
60,1,0.6,0.2,10,50,1,0,0,1,1,NA
100,1,0.6,0.2,10,50,1,0,0,1,1,NA
10,1.5,0.6,0.2,10,50,1,0,0,1,1,NA
30,1.5,0.6,0.2,10,50,1,0,0,1,1,NA
60,1.5,0.6,0.2,10,50,1,0,0,1,1,NA
100,1.5,0.6,0.2,10,50,1,0,0,1,1,NA
10,0.5,0.7,0.2,10,50,1,0,0,1,1,NA
30,0.5,0.7,0.2,10,50,1,0,0,1,1,NA
60,0.5,0.7,0.2,10,50,1,0,0,1,1,NA
100,0.5,0.7,0.2,10,50,1,0,0,1,1,NA
10,1,0.7,0.2,10,50,1,0,0,1,1,NA
30,1,0.7,0.2,10,50,1,0,0,1,1,NA
60,1,0.7,0.2,10,50,1,0,0,1,1,NA
100,1,0.7,0.2,10,50,1,0,0,1,1,NA
10,1.5,0.7,0.2,10,50,1,0,0,1,1,NA
30,1.5,0.7,0.2,10,50,1,0,0,1,1,NA
60,1.5,0.7,0.2,10,50,1,0,0,1,1,NA
100,1.5,0.7,0.2,10,50,1,0,0,1,1,NA
10,0.5,0.5,0.3,10,50,1,0,0,1,1,NA
30,0.5,0.5,0.3,10,50,1,0,0,1,1,NA
60,0.5,0.5,0.3,10,50,1,0,0,1,1,NA
100,0.5,0.5,0.3,10,50,1,0,0,1,1,NA
10,1,0.5,0.3,10,50,1,0,0,1,1,NA
30,1,0.5,0.3,10,50,1,0,0,1,1,NA
60,1,0.5,0.3,10,50,1,0,0,1,1,NA
100,1,0.5,0.3,10,50,1,0,0,1,1,NA
10,1.5,0.5,0.3,10,50,1,0,0,1,1,NA
30,1.5,0.5,0.3,10,50,1,0,0,1,1,NA
60,1.5,0.5,0.3,10,50,1,0,0,1,1,NA
100,1.5,0.5,0.3,10,50,1,0,0,1,1,NA
10,0.5,0.6,0.3,10,50,1,0,0,1,1,NA
30,0.5,0.6,0.3,10,50,1,0,0,1,1,NA
60,0.5,0.6,0.3,10,50,1,0,0,1,1,NA
100,0.5,0.6,0.3,10,50,1,0,0,1,1,NA
10,1,0.6,0.3,10,50,1,0,0,1,1,NA
30,1,0.6,0.3,10,50,1,0,0,1,1,NA
60,1,0.6,0.3,10,50,1,0,0,1,1,NA
100,1,0.6,0.3,10,50,1,0,0,1,1,NA
10,1.5,0.6,0.3,10,50,1,0,0,1,1,NA
30,1.5,0.6,0.3,10,50,1,0,0,1,1,NA
60,1.5,0.6,0.3,10,50,1,0,0,1,1,NA
100,1.5,0.6,0.3,10,50,1,0,0,1,1,NA
10,0.5,0.7,0.3,10,50,1,0,0,1,1,NA
30,0.5,0.7,0.3,10,50,1,0,0,1,1,NA
60,0.5,0.7,0.3,10,50,1,0,0,1,1,NA
100,0.5,0.7,0.3,10,50,1,0,0,1,1,NA
10,1,0.7,0.3,10,50,1,0,0,1,1,NA
30,1,0.7,0.3,10,50,1,0,0,1,1,NA
60,1,0.7,0.3,10,50,1,0,0,1,1,NA
100,1,0.7,0.3,10,50,1,0,0,1,1,NA
10,1.5,0.7,0.3,10,50,1,0,0,1,1,NA
30,1.5,0.7,0.3,10,50,1,0,0,1,1,NA
60,1.5,0.7,0.3,10,50,1,0,0,1,1,NA
100,1.5,0.7,0.3,10,50,1,0,0,1,1,NA
10,0.5,0.5,0.4,10,50,1,0,0,1,1,NA
30,0.5,0.5,0.4,10,50,1,0,0,1,1,NA
60,0.5,0.5,0.4,10,50,1,0,0,1,1,NA
100,0.5,0.5,0.4,10,50,1,0,0,1,1,NA
10,1,0.5,0.4,10,50,1,0,0,1,1,NA
30,1,0.5,0.4,10,50,1,0,0,1,1,NA
60,1,0.5,0.4,10,50,1,0,0,1,1,NA
100,1,0.5,0.4,10,50,1,0,0,1,1,NA
10,1.5,0.5,0.4,10,50,1,0,0,1,1,NA
30,1.5,0.5,0.4,10,50,1,0,0,1,1,NA
60,1.5,0.5,0.4,10,50,1,0,0,1,1,NA
100,1.5,0.5,0.4,10,50,1,0,0,1,1,NA
10,0.5,0.6,0.4,10,50,1,0,0,1,1,NA
30,0.5,0.6,0.4,10,50,1,0,0,1,1,NA
60,0.5,0.6,0.4,10,50,1,0,0,1,1,NA
100,0.5,0.6,0.4,10,50,1,0,0,1,1,NA
10,1,0.6,0.4,10,50,1,0,0,1,1,NA
30,1,0.6,0.4,10,50,1,0,0,1,1,NA
60,1,0.6,0.4,10,50,1,0,0,1,1,NA
100,1,0.6,0.4,10,50,1,0,0,1,1,NA
10,1.5,0.6,0.4,10,50,1,0,0,1,1,NA
30,1.5,0.6,0.4,10,50,1,0,0,1,1,NA
60,1.5,0.6,0.4,10,50,1,0,0,1,1,NA
100,1.5,0.6,0.4,10,50,1,0,0,1,1,NA
10,0.5,0.7,0.4,10,50,1,0,0,1,1,NA
30,0.5,0.7,0.4,10,50,1,0,0,1,1,NA
60,0.5,0.7,0.4,10,50,1,0,0,1,1,NA
100,0.5,0.7,0.4,10,50,1,0,0,1,1,NA
10,1,0.7,0.4,10,50,1,0,0,1,1,NA
30,1,0.7,0.4,10,50,1,0,0,1,1,NA
60,1,0.7,0.4,10,50,1,0,0,1,1,NA
100,1,0.7,0.4,10,50,1,0,0,1,1,NA
10,1.5,0.7,0.4,10,50,1,0,0,1,1,NA
30,1.5,0.7,0.4,10,50,1,0,0,1,1,NA
60,1.5,0.7,0.4,10,50,1,0,0,1,1,NA
100,1.5,0.7,0.4,10,50,1,0,0,1,1,NA
10,0.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
100,0.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
10,1,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
100,1,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
10,1.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.5,0.2,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.6,0.2,100,50,1,1,0,1,6.06,1.79986877139022
100,0.5,0.6,0.2,100,50,1,1,0,1,6.78,1.89718039733618
10,1,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1,0.6,0.2,100,50,1,1,0,1,6.06,1.79986877139022
100,1,0.6,0.2,100,50,1,1,0,1,6.3,1.83230598003887
10,1.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.6,0.2,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.7,0.2,100,50,1,1,0,1,6.9,1.9133990016605
100,0.5,0.7,0.2,100,50,1,1,0,1,8.82,2.17289667084973
10,1,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1,0.7,0.2,100,50,1,1,0,1,6.36,1.84041528220103
100,1,0.7,0.2,100,50,1,1,0,1,8.04,2.06747574274161
10,1.5,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.7,0.2,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.7,0.2,100,50,1,1,0,1,6.06,1.79986877139022
100,1.5,0.7,0.2,100,50,1,1,0,1,7.02,1.92961760598483
10,0.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
100,0.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
10,1,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
30,1,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
100,1,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
10,1.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
